Unnamed: 0,ATL,CAR
First Downs,22,19
Rush-Yds-TDs,29-176-1,34-185-2
Cmp-Att-Yd-TD-INT,22-41-224-1-2,15-24-195-2-0
Sacked-Yards,0-0,0-0
Net Pass Yards,224,195
Total Yards,400,380
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,4-26,5-48
Third Down Conv.,6-14,7-13
Fourth Down Conv.,1-2,0-1
Time of Possession,31:51,28:09
