Unnamed: 0,NYJ,JAX
First Downs,18,20
Rush-Yds-TDs,22-78-0,40-223-4
Cmp-Att-Yd-TD-INT,21-39-281-0-2,10-15-173-0-0
Sacked-Yards,2-14,2-13
Net Pass Yards,267,160
Total Yards,345,383
Fumbles-Lost,4-2,0-0
Turnovers,4,0
Penalties-Yards,4-25,3-15
Third Down Conv.,5-13,4-10
Fourth Down Conv.,0-3,0-0
Time of Possession,26:34,33:26
