Quarter,Time,Tm,Detail,NWE,WAS
1.0,9:26,Redskins,Steven Sims 65 yard rush (Dustin Hopkins kick),0,7
,7:09,Patriots,Julian Edelman 6 yard pass from Tom Brady (Mike Nugent kick failed),6,7
2.0,10:35,Patriots,Mike Nugent 37 yard field goal,9,7
,0:30,Patriots,Mike Nugent 23 yard field goal,12,7
3.0,10:57,Patriots,Brandon Bolden 29 yard pass from Tom Brady (Mike Nugent kick),19,7
,4:35,Patriots,Sony Michel 14 yard rush (Mike Nugent kick),26,7
4.0,9:14,Patriots,Ryan Izzo 10 yard pass from Tom Brady (Mike Nugent kick),33,7
