Unnamed: 0,NWE,WAS
First Downs,23,11
Rush-Yds-TDs,27-130-1,20-145-1
Cmp-Att-Yd-TD-INT,28-43-348-3-1,18-27-122-0-1
Sacked-Yards,4-36,6-44
Net Pass Yards,312,78
Total Yards,442,223
Fumbles-Lost,0-0,3-1
Turnovers,1,2
Penalties-Yards,7-55,6-72
Third Down Conv.,5-15,1-11
Fourth Down Conv.,0-1,0-0
Time of Possession,31:53,28:07
