Quarter,Time,Tm,Detail,ATL,CAR
1.0,4:02,Falcons,Todd Peterson 36 yard field goal,3,0
,0:31,Panthers,DeShaun Foster 18 yard pass from Jake Delhomme (John Kasay kick),3,7
2.0,11:41,Falcons,Todd Peterson 43 yard field goal,6,7
,3:51,Panthers,Steve Smith Sr. 18 yard pass from Jake Delhomme (John Kasay kick),6,14
4.0,6:33,Panthers,John Kasay 20 yard field goal,6,17
,2:19,Panthers,DeShaun Foster 6 yard rush (John Kasay kick),6,24
