Unnamed: 0,ATL,CAR
First Downs,14,14
Rush-Yds-TDs,24-111-0,34-142-1
Cmp-Att-Yd-TD-INT,17-35-171-0-2,17-27-164-2-1
Sacked-Yards,4-23,0-0
Net Pass Yards,148,164
Total Yards,259,306
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,4-37,3-38
Third Down Conv.,7-17,5-15
Fourth Down Conv.,0-1,1-1
Time of Possession,27:40,32:20
