Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Isaiah Crowell,NYJ,21,98,0,3,44,2.1,54,2.6,0,
Elijah McGuire,NYJ,6,19,0,1,7,1.2,12,2.0,0,
Trenton Cannon,NYJ,4,18,0,1,6,1.5,12,3.0,0,
Josh McCown,NYJ,1,3,0,0,3,3.0,0,0.0,0,
Andre Roberts,NYJ,1,18,0,1,16,16.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Derrick Henry,TEN,10,40,1,3,12,1.2,28,2.8,1,10.0
Dion Lewis,TEN,6,36,0,,20,3.3,16,2.7,1,6.0
Marcus Mariota,TEN,4,43,0,2,34,8.5,9,2.3,0,
Corey Davis,TEN,1,12,0,1,12,12.0,0,0.0,0,
Blaine Gabbert,TEN,1,-1,0,,-1,-1.0,0,0.0,0,
