Unnamed: 0,NYJ,TEN
First Downs,15,22
Rush-Yds-TDs,33-156-0,22-130-1
Cmp-Att-Yd-TD-INT,17-30-128-0-1,20-35-282-2-1
Sacked-Yards,2-4,3-9
Net Pass Yards,124,273
Total Yards,280,403
Fumbles-Lost,0-0,2-0
Turnovers,1,1
Penalties-Yards,11-96,8-75
Third Down Conv.,3-14,1-11
Fourth Down Conv.,0-0,0-0
Time of Possession,33:22,26:38
