Unnamed: 0,IND,HOU
First Downs,16,10
Rush-Yds-TDs,27-88-0,30-126-0
Cmp-Att-Yd-TD-INT,21-28-272-2-0,12-22-99-0-1
Sacked-Yards,3-21,4-21
Net Pass Yards,251,78
Total Yards,339,204
Fumbles-Lost,2-2,1-1
Turnovers,2,2
Penalties-Yards,4-45,9-67
Third Down Conv.,6-13,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,31:11,28:49
