Unnamed: 0,DEN,JAX
First Downs,20,8
Rush-Yds-TDs,35-106-0,22-67-0
Cmp-Att-Yd-TD-INT,23-39-250-0-0,8-16-120-1-0
Sacked-Yards,0-0,2-11
Net Pass Yards,250,109
Total Yards,356,176
Fumbles-Lost,3-1,1-0
Turnovers,1,0
Penalties-Yards,7-57,10-85
Third Down Conv.,6-18,1-10
Fourth Down Conv.,0-0,0-0
Time of Possession,37:08,22:52
