Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 70 yards, returned by Reuben Droughns for 20 yards (tackle by Greg Jones)",0.000,0.280
1,14:55,1,10,DEN 20,0,0,Quentin Griffin left end for 6 yards (tackle by Dewayne Washington),0.280,0.540
1,14:21,2,4,DEN 26,0,0,Quentin Griffin left end for 3 yards (tackle by Mike Peterson),0.540,0.230
1,13:40,3,1,DEN 29,0,0,Quentin Griffin up the middle for 4 yards (tackle by Akin Ayodele),0.230,1.140
1,13:03,1,10,DEN 33,0,0,Jake Plummer pass complete to Rod Smith for 11 yards (tackle by Marcus Stroud),1.140,1.860
1,12:25,1,10,DEN 44,0,0,Jake Plummer pass complete to Rod Smith for 12 yards (tackle by Daryl Smith),1.860,2.650
1,11:56,1,10,JAX 44,0,0,Tatum Bell left tackle for 7 yards (tackle by Marcus Stroud),2.650,3.060
1,11:16,2,3,JAX 37,0,0,Jake Plummer pass incomplete intended for Rod Smith,3.060,2.350
1,11:09,3,3,JAX 37,0,0,Jake Plummer pass incomplete intended for Rod Smith,2.350,0.790
1,11:05,4,3,JAX 37,0,0,"Micah Knorr punts 37 yards, touchback",0.790,-0.280
1,10:57,1,10,JAX 20,0,0,Byron Leftwich sacked by Reggie Hayward for -4 yards,0.280,-0.940
1,10:31,2,14,JAX 16,0,0,Fred Taylor up the middle for 10 yards (tackle by Reggie Hayward),-0.940,-0.160
1,9:46,3,4,JAX 26,0,0,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Champ Bailey),-0.160,-1.630
1,9:40,4,4,JAX 26,0,0,Chris Hanson punts 33 yards,-1.630,-1.660
1,9:28,1,10,DEN 41,0,0,Jake Plummer for 7 yards (tackle by Rashean Mathis),1.660,2.070
1,9:01,2,3,DEN 48,0,0,Quentin Griffin right end for 2 yards (tackle by Rashean Mathis),2.070,1.620
1,8:34,3,1,JAX 50,0,0,Quentin Griffin right tackle for no gain (tackle by Rob Meier),1.620,-0.060
1,7:30,4,1,JAX 50,0,0,"Micah Knorr punts 36 yards, returned by Jermaine Lewis for 12 yards (tackle by Nick Ferguson)",-0.060,-0.670
1,7:20,1,10,JAX 26,0,0,Byron Leftwich pass complete to Jimmy Smith for 28 yards (tackle by Champ Bailey),0.670,2.520
,,,,,,,"DEN challenged the ruling, and the play was upheld.",,
1,7:07,1,10,DEN 46,0,0,"Penalty on Mike Pearson: False Start, 5 yards (no play)",2.520,2.190
1,7:07,1,15,JAX 49,0,0,Fred Taylor right tackle for 1 yard (tackle by Donnie Spragan),2.190,1.440
1,6:32,2,14,JAX 50,0,0,LaBrandon Toefield left tackle for 1 yard (tackle by Luther Elliss),1.440,0.890
1,5:50,3,13,DEN 49,0,0,Byron Leftwich pass incomplete intended for Troy Edwards,0.890,0.000
1,5:45,4,13,DEN 49,0,0,Chris Hanson punts 40 yards,0.000,0.380
1,5:35,1,10,DEN 9,0,0,Quentin Griffin up the middle for 3 yards (tackle by Rob Meier),-0.380,-0.560
1,4:58,2,7,DEN 12,0,0,"Quentin Griffin left tackle for 7 yards (tackle by Daryl Smith). Penalty on Dan Neil: Offensive Holding, 6 yards (no play)",-0.560,-1.000
1,4:37,2,13,DEN 6,0,0,Quentin Griffin up the middle for 9 yards (tackle by Deke Cooper and Juran Bolden),-1.000,-0.720
1,3:52,3,4,DEN 15,0,0,Jake Plummer pass complete to Rod Smith for 8 yards (tackle by Juran Bolden),-0.720,0.480
1,3:11,1,10,DEN 23,0,0,Jake Plummer pass complete to Quentin Griffin for 4 yards (tackle by Rashean Mathis),0.480,0.470
1,2:36,2,6,DEN 27,0,0,Tatum Bell right tackle for 5 yards (tackle by Akin Ayodele),0.470,0.430
1,1:58,3,1,DEN 32,0,0,Tatum Bell left tackle for no gain (tackle by Greg Favors),0.430,-1.240
1,1:15,4,1,DEN 32,0,0,"Micah Knorr punts 50 yards, returned by Jermaine Lewis for 50 yards (tackle by Roc Alexander)",-1.240,-3.450
1,0:58,1,10,DEN 32,0,0,Fred Taylor left end for 7 yards (tackle by John Lynch),3.450,3.850
1,0:29,2,3,DEN 25,0,0,Fred Taylor up the middle for 8 yards (tackle by Darius Holland),3.850,4.440
Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 17,0,0,"LaBrandon Toefield right end for -2 yards (tackle by Kelly Herndon). Penalty on Darius Holland: Defensive Holding, 5 yards (no play)",4.440,4.780
2,14:39,1,10,DEN 12,0,0,Fred Taylor right end for no gain (tackle by Kenoy Kennedy),4.780,4.100
2,13:55,2,10,DEN 12,0,0,"Greg Jones up the middle for 5 yards (tackle by Donnie Spragan). Greg Jones fumbles (forced by Donnie Spragan), recovered by Brad Meester at DEN-7",4.100,4.160
2,13:10,3,5,DEN 7,0,0,"Penalty on George Wrighster: False Start, 5 yards (no play)",4.160,3.120
2,12:46,3,10,DEN 12,0,6,"Byron Leftwich pass complete to Ernest Wilford for 12 yards, touchdown",3.120,7.000
2,,,,DEN 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,0,7,"Josh Scobee kicks off 72 yards, returned by Reuben Droughns for 29 yards (tackle by Todd Yoder)",0.000,0.740
2,12:33,1,10,DEN 27,0,7,Jake Plummer pass incomplete intended for Quentin Griffin,0.740,0.200
2,12:27,2,10,DEN 27,0,7,Jake Plummer pass complete to Rod Smith for 34 yards (tackle by Donovin Darius),0.200,2.980
2,11:43,1,10,JAX 39,0,7,Jake Plummer pass complete to Quentin Griffin for 12 yards (tackle by Rashean Mathis),2.980,3.780
2,11:02,1,10,JAX 27,0,7,Quentin Griffin up the middle for 2 yards (tackle by Akin Ayodele),3.780,3.500
2,10:19,2,8,JAX 25,0,7,Jake Plummer pass incomplete intended for Ashley Lelie,3.500,2.810
2,10:15,3,8,JAX 25,0,7,"Jake Plummer for 4 yards. Jake Plummer fumbles, recovered by Jake Plummer at JAX-30",2.810,1.740
2,9:43,4,9,JAX 26,3,7,Jason Elam 44 yard field goal good,1.740,3.000
2,,,,DEN 30,3,7,"Micah Knorr kicks off 74 yards, touchback",0.000,0.280
2,9:37,1,10,JAX 20,3,7,"Byron Leftwich pass complete to Fred Taylor for 9 yards (tackle by Darius Holland). Penalty on Maurice Williams: Offensive Holding, 10 yards (no play)",0.280,-0.760
2,9:14,1,20,JAX 10,3,7,Fred Taylor right tackle for 2 yards (tackle by Willie Middlebrooks),-0.760,-1.360
2,8:36,2,18,JAX 12,3,7,Byron Leftwich pass complete to Jimmy Smith for 10 yards (tackle by Kelly Herndon),-1.360,-0.690
2,7:55,3,8,JAX 22,3,7,Byron Leftwich pass complete to Troy Edwards for 7 yards (tackle by Kelly Herndon),-0.690,-1.440
2,7:16,4,1,JAX 29,3,7,Chris Hanson punts 59 yards (tackle by Deke Cooper),-1.440,-1.730
2,7:03,1,10,DEN 42,3,7,Jake Plummer pass incomplete intended for Darius Watts,1.730,1.190
2,6:56,2,10,DEN 42,3,7,Jake Plummer pass complete to Jeb Putzier for 5 yards,1.190,1.160
2,6:25,3,5,DEN 47,3,7,Jake Plummer pass incomplete intended for Ashley Lelie,1.160,-0.260
2,6:14,4,5,DEN 47,3,7,"Micah Knorr punts 53 yards, touchback",-0.260,-0.280
2,6:06,1,10,JAX 20,3,7,LaBrandon Toefield left end for -5 yards (tackle by Reggie Hayward),0.280,-1.070
2,5:27,2,15,JAX 15,3,7,Byron Leftwich pass complete to Jimmy Smith for 31 yards (tackle by Champ Bailey),-1.070,1.990
2,4:43,1,10,JAX 46,3,7,Byron Leftwich pass incomplete intended for Jimmy Smith,1.990,1.450
2,4:36,2,10,JAX 46,3,7,Fred Taylor right end for 4 yards (tackle by D.J. Williams and John Lynch),1.450,1.290
2,3:54,3,6,JAX 50,3,7,Fred Taylor right tackle for 4 yards (tackle by Patrick Chukwurah and Reggie Hayward),1.290,0.200
2,3:19,4,2,DEN 46,3,7,"Chris Hanson punts 46 yards, touchback",0.200,-0.280
2,3:11,1,10,DEN 20,3,7,Jake Plummer pass complete to Rod Smith for 9 yards (tackle by Mike Peterson),0.280,0.950
2,2:35,2,1,DEN 29,3,7,Jake Plummer pass complete to Jeb Putzier for 7 yards (tackle by Daryl Smith),0.950,1.330
2,2:01,1,10,DEN 36,3,7,Jake Plummer pass complete to Dwayne Carswell for 9 yards (tackle by Mike Peterson),1.330,2.010
2,1:56,2,1,DEN 45,3,7,Quentin Griffin up the middle for 6 yards (tackle by Mike Peterson),2.010,2.320
2,1:34,1,10,JAX 49,3,7,Jake Plummer right end for 4 yards (tackle by Marcus Stroud),2.320,2.320
2,1:24,,,,3,7,Timeout #2 by Denver Broncos,0.000,2.320
2,1:24,2,6,JAX 45,3,7,Jake Plummer pass complete to Ashley Lelie for 39 yards (tackle by Dewayne Washington),2.320,5.830
2,0:45,1,6,JAX 6,3,7,Quentin Griffin up the middle for 2 yards (tackle by John Henderson),5.830,5.340
2,0:39,,,,3,7,Timeout #3 by Denver Broncos,0.000,5.340
2,0:39,2,4,JAX 4,3,7,Jake Plummer pass incomplete intended for Ashley Lelie,5.340,4.490
2,0:34,3,4,JAX 4,3,7,Quentin Griffin up the middle for no gain (tackle by Marcus Stroud),4.490,3.030
2,0:04,4,4,JAX 4,6,7,Jason Elam 22 yard field goal good,3.030,3.000
Quarter,Time,Down,ToGo,Location,DEN,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,6,7,"Micah Knorr kicks off 66 yards, returned by Jermaine Lewis for 24 yards (tackle by John Lynch)",0.000,0.810
3,14:55,1,10,JAX 28,6,7,Greg Jones up the middle for 4 yards (tackle by Monsanto Pope),0.810,0.800
3,14:19,2,6,JAX 32,6,7,Byron Leftwich pass incomplete intended for Greg Jones,0.800,0.100
3,14:14,3,6,JAX 32,6,7,Byron Leftwich pass complete to LaBrandon Toefield for 5 yards (tackle by Willie Middlebrooks),0.100,-0.910
3,13:51,4,1,JAX 37,6,7,"Chris Hanson punts 44 yards, returned by Rod Smith for 2 yards (tackle by Nick Sorensen)",-0.910,-0.340
