Quarter,Time,Tm,Detail,JAX,IND
1.0,10:45,Colts,Donald Brown 1 yard rush (Adam Vinatieri kick),0,7
,7:30,Colts,Trent Richardson 2 yard rush (Adam Vinatieri kick),0,14
,1:22,Colts,Adam Vinatieri 23 yard field goal,0,17
2.0,11:55,Jaguars,Josh Scobee 37 yard field goal,3,17
,0:00,Colts,Adam Vinatieri 26 yard field goal,3,20
3.0,10:39,Colts,Griff Whalen 7 yard pass from Andrew Luck (Adam Vinatieri kick),3,27
4.0,8:00,Colts,Adam Vinatieri 39 yard field goal,3,30
,0:16,Jaguars,Kerry Taylor 14 yard pass from Chad Henne (Josh Scobee kick),10,30
