Quarter,Time,Tm,Detail,SEA,BUF
1.0,10:00,Seahawks,Russell Wilson 14 yard rush (Stephen Hauschka kick),7,0
,5:46,Seahawks,Russell Wilson 25 yard rush (Stephen Hauschka kick),14,0
,0:34,Bills,C.J. Spiller 14 yard rush (Rian Lindell kick),14,7
2.0,12:03,Seahawks,Stephen Hauschka 19 yard field goal,17,7
,10:10,Seahawks,Zach Miller 4 yard pass from Russell Wilson (Stephen Hauschka kick),24,7
,5:31,Seahawks,Russell Wilson 13 yard rush (Stephen Hauschka kick),31,7
,1:10,Bills,Stevie Johnson 20 yard pass from Ryan Fitzpatrick (Rian Lindell kick),31,14
,0:00,Bills,Rian Lindell 41 yard field goal,31,17
3.0,12:18,Seahawks,Marshawn Lynch 13 yard rush (Stephen Hauschka kick failed),37,17
,7:29,Seahawks,Stephen Hauschka 33 yard field goal,40,17
,6:13,Seahawks,Earl Thomas 57 yard interception return (Stephen Hauschka kick),47,17
4.0,9:17,Seahawks,Stephen Hauschka 23 yard field goal,50,17
