Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,SEA 40,14,7,Marshawn Lynch left end for 6 yards (tackle by Kelvin Sheppard and Da'Norris Searcy),1.470,1.990
2,14:21,1,10,SEA 46,14,7,Russell Wilson pass complete deep left to Golden Tate for 44 yards (tackle by Da'Norris Searcy),1.990,4.910
2,13:32,1,10,BUF 10,14,7,Marshawn Lynch right guard for 1 yard (tackle by Mario Williams and Nigel Bradham),4.910,4.380
2,12:55,2,9,BUF 9,14,7,Russell Wilson pass incomplete short right intended for Golden Tate,4.380,3.360
2,12:50,3,9,BUF 9,14,7,Russell Wilson pass complete short middle to Sidney Rice for 8 yards (tackle by Stephon Gilmore),3.360,3.550
2,12:06,4,1,BUF 1,17,7,Steven Hauschka 19 yard field goal good,3.550,3.000
2,12:03,,,SEA 35,17,7,"Steven Hauschka kicks off 73 yards, touchback",0.000,0.280
2,12:03,1,10,BUF 20,17,7,Ryan Fitzpatrick pass incomplete short right intended for T.J. Graham,0.280,-0.270
2,11:59,2,10,BUF 20,17,7,Ryan Fitzpatrick pass complete short right to T.J. Graham for 5 yards (tackle by Jeremy Lane and Bobby Wagner),-0.270,-0.300
2,11:25,3,5,BUF 25,17,7,Ryan Fitzpatrick pass incomplete short left intended for C.J. Spiller,-0.300,-1.700
2,11:22,4,5,BUF 25,17,7,"Shawn Powell punts 40 yards, returned by Leon Washington for 7 yards (tackle by Ruvell Martin)",-1.700,-1.730
2,11:14,1,10,SEA 42,17,7,Russell Wilson pass incomplete short right intended for Jermaine Kearse,1.730,1.190
2,11:05,2,10,SEA 42,17,7,Marshawn Lynch up the middle for 54 yards (tackle by George Wilson),1.190,6.280
2,10:16,1,4,BUF 4,23,7,"Russell Wilson pass complete short left to Zach Miller for 4 yards, touchdown",6.280,7.000
2,10:16,,,BUF 2,24,7,Steven Hauschka kicks extra point good,0.000,0.000
2,10:10,,,SEA 35,24,7,"Steven Hauschka kicks off 72 yards, touchback",0.000,0.280
2,10:10,1,10,BUF 20,24,7,C.J. Spiller left guard for -4 yards (tackle by Earl Thomas),0.280,-0.940
2,9:28,2,14,BUF 16,24,7,Ryan Fitzpatrick pass incomplete short right intended for T.J. Graham (defended by Malcolm Smith),-0.940,-1.690
2,9:22,3,14,BUF 16,24,7,Ryan Fitzpatrick left guard for 3 yards (tackle by Bobby Wagner),-1.690,-2.140
2,8:44,4,11,BUF 19,24,7,"Shawn Powell punts 43 yards, fair catch by Leon Washington",-2.140,-1.470
2,8:37,1,10,SEA 38,24,7,Marshawn Lynch right guard for 11 yards (tackle by Jairus Byrd),1.470,2.190
2,8:01,1,10,SEA 49,24,7,Russell Wilson right tackle for no gain (tackle by Bryan Scott),2.190,1.650
2,7:19,2,10,SEA 49,24,7,Russell Wilson pass complete short right to Sidney Rice for 41 yards (tackle by Aaron Williams),1.650,0.000
2,6:40,,,,24,7,Timeout #1 by Seattle Seahawks,0.000,4.910
2,6:40,1,10,BUF 10,24,7,"Marshawn Lynch right tackle for -1 yards (tackle by Kyle Moore and Spencer Johnson). Penalty on Anthony McCoy: Offensive Holding, 10 yards (no play)",4.910,4.240
2,6:17,1,20,BUF 20,24,7,Marshawn Lynch up the middle for 7 yards (tackle by Kyle Moore and George Wilson),4.240,3.720
2,5:38,2,13,BUF 13,30,7,"Russell Wilson right tackle for 13 yards, touchdown",3.720,7.000
2,5:38,,,BUF 2,31,7,Steven Hauschka kicks extra point good,0.000,0.000
2,5:31,,,SEA 35,31,7,"Steven Hauschka kicks off 69 yards, returned by Brad Smith for 22 yards (tackle by Michael Robinson)",0.000,0.040
2,5:27,1,10,BUF 18,31,7,C.J. Spiller up the middle for 6 yards (tackle by Alan Branch and Earl Thomas),0.040,0.410
2,4:45,2,4,BUF 24,31,7,C.J. Spiller left guard for 18 yards (tackle by Bobby Wagner),0.410,1.730
2,4:11,1,10,BUF 42,31,7,Ryan Fitzpatrick left tackle for 4 yards (tackle by Alan Branch and Bobby Wagner),1.730,1.730
2,3:24,2,6,BUF 46,31,7,C.J. Spiller left tackle for 1 yard (tackle by Byron Maxwell),1.730,1.160
2,2:39,3,5,BUF 47,31,7,Ryan Fitzpatrick pass complete short right to Scott Chandler for 9 yards (tackle by Earl Thomas),1.160,2.650
2,2:08,1,10,SEA 44,31,7,Ryan Fitzpatrick pass complete deep middle to Scott Chandler for 21 yards (tackle by Kam Chancellor and Richard Sherman),2.650,4.040
2,2:00,1,10,SEA 23,31,7,Ryan Fitzpatrick pass incomplete short middle intended for T.J. Graham,4.040,3.500
2,1:56,2,10,SEA 23,31,7,C.J. Spiller left guard for 3 yards (tackle by Brandon Mebane),3.500,3.200
2,1:16,3,7,SEA 20,31,13,"Ryan Fitzpatrick pass complete deep left to Steve Johnson for 20 yards, touchdown",3.200,7.000
2,1:16,,,SEA 2,31,14,Rian Lindell kicks extra point good,0.000,0.000
2,1:10,,,BUF 35,31,14,"Rian Lindell kicks off 61 yards, returned by Leon Washington for 18 yards (tackle by Nigel Bradham)",0.000,0.410
2,1:04,1,10,SEA 22,31,14,Russell Wilson pass incomplete deep right intended for Doug Baldwin,0.410,-0.130
2,0:59,2,10,SEA 22,31,14,Russell Wilson pass incomplete short right intended for Leon Washington,-0.130,-0.820
2,0:52,3,10,SEA 22,31,14,Leon Washington right guard for no gain (tackle by Jairus Byrd),-0.820,0.000
2,0:49,,,,31,14,Timeout #1 by Buffalo Bills,0.000,-1.900
2,0:49,4,10,SEA 22,31,14,"Jon Ryan punts 44 yards, fair catch by Justin Rogers",-1.900,-1.200
2,0:41,1,10,BUF 34,31,14,Ryan Fitzpatrick pass complete short left to Steve Johnson for 24 yards (tackle by Byron Maxwell),1.200,2.790
2,0:34,1,10,SEA 42,31,14,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 6 yards (tackle by Jeremy Lane),2.790,0.000
2,0:24,,,,31,14,Timeout #2 by Buffalo Bills,0.000,3.050
2,0:24,2,4,SEA 36,31,14,Ryan Fitzpatrick pass complete short middle to Scott Chandler for 13 yards (tackle by Bobby Wagner),3.050,4.040
2,0:10,1,10,SEA 23,31,14,Ryan Fitzpatrick spiked the ball,4.040,3.500
2,0:09,2,10,SEA 23,31,14,Ryan Fitzpatrick pass incomplete deep left intended for Steve Johnson,3.500,2.810
2,0:04,3,10,SEA 23,31,17,Rian Lindell 41 yard field goal good,2.810,3.000
Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,31,17,"Steven Hauschka kicks off 69 yards, returned by Justin Rogers for 28 yards (tackle by Heath Farwell)",0.000,0.540
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
3,14:57,1,10,BUF 24,31,17,Ryan Fitzpatrick sacked by Chris Clemons for -10 yards,0.540,-1.470
3,14:19,2,20,BUF 14,31,17,Ryan Fitzpatrick pass incomplete deep left intended for C.J. Spiller,-1.470,-2.450
3,14:13,3,20,BUF 14,31,17,Ryan Fitzpatrick pass complete deep middle to Steve Johnson for 25 yards (tackle by Richard Sherman),-2.450,1.530
3,13:33,1,10,BUF 39,31,17,"Penalty on Lee Smith: False Start, 5 yards (no play)",1.530,1.200
3,13:08,1,15,BUF 34,31,17,Ryan Fitzpatrick pass incomplete short middle intended for Scott Chandler is intercepted by K.J. Wright at BUF-44 and returned for 24 yards (tackle by Andy Levitre),1.200,-4.240
3,12:58,1,10,BUF 20,31,17,Russell Wilson right tackle for 7 yards (tackle by Kelvin Sheppard),4.240,4.830
3,12:25,2,3,BUF 13,37,17,"Marshawn Lynch left tackle for 13 yards, touchdown",4.830,7.000
3,12:25,,,BUF 2,37,17,Steven Hauschka kicks extra point no good,0.000,-1.000
3,12:18,,,SEA 35,37,17,"Steven Hauschka kicks off 70 yards, returned by Brad Smith for 39 yards (tackle by Ron Parker)",0.000,1.200
3,12:12,1,10,BUF 34,37,17,"Penalty on Cordy Glenn: False Start, 5 yards (no play)",1.200,0.870
3,12:12,1,15,BUF 29,37,17,Ryan Fitzpatrick pass complete short middle to Steve Johnson for 8 yards (tackle by Bobby Wagner),0.870,1.060
3,11:29,2,7,BUF 37,37,17,Ryan Fitzpatrick pass complete short middle to Steve Johnson for 8 yards (tackle by LeRoy Hill),1.060,1.930
3,10:46,1,10,BUF 45,37,17,Ryan Fitzpatrick right guard for 1 yard (tackle by Chris Clemons),1.930,1.520
3,10:06,2,9,BUF 46,37,17,C.J. Spiller left end for 9 yards (tackle by Jason Jones),1.520,2.590
3,9:32,1,10,SEA 45,37,17,C.J. Spiller up the middle for 4 yards (tackle by Bobby Wagner and Clinton McDonald),2.590,2.580
3,8:50,2,6,SEA 41,37,17,C.J. Spiller up the middle for 2 yards (tackle by Jason Jones and K.J. Wright),2.580,2.150
3,8:05,3,4,SEA 39,37,17,"Ryan Fitzpatrick sacked by Chris Clemons for -11 yards. Ryan Fitzpatrick fumbles (forced by Chris Clemons), recovered by Bruce Irvin at BUF-45 and returned for 35 yards (tackle by T.J. Graham)",2.150,-4.910
3,7:51,1,10,BUF 10,37,17,Russell Wilson pass incomplete short right intended for Anthony McCoy,4.910,4.190
3,7:45,2,10,BUF 10,37,17,Russell Wilson pass incomplete short left intended for Michael Robinson,4.190,3.130
3,7:37,3,10,BUF 10,37,17,"Penalty on Sidney Rice: False Start, 5 yards (no play)",3.130,2.930
3,7:37,3,15,BUF 15,37,17,Russell Wilson pass incomplete short middle intended for Doug Baldwin (defended by Justin Rogers),2.930,2.440
3,7:32,4,15,BUF 15,40,17,Steven Hauschka 33 yard field goal good,2.440,3.000
3,7:29,,,SEA 35,40,17,"Steven Hauschka kicks off 70 yards, returned by Brad Smith for 30 yards (tackle by Ron Parker)",0.000,0.610
3,7:22,1,10,BUF 25,40,17,Ryan Fitzpatrick pass incomplete deep left intended for Steve Johnson,0.610,0.060
3,7:15,2,10,BUF 25,40,17,Ryan Fitzpatrick pass complete short middle to Brad Smith for 6 yards (tackle by Bobby Wagner),0.060,0.170
3,6:33,3,4,BUF 31,46,17,"Ryan Fitzpatrick pass incomplete deep left intended for Scott Chandler is intercepted by Earl Thomas at SEA-43 and returned for 57 yards, touchdown",0.170,-7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
3,,,,BUF 2,47,17,Steven Hauschka kicks extra point good,0.000,0.000
3,6:13,,,SEA 35,47,17,"Steven Hauschka kicks off 72 yards, touchback",0.000,0.280
3,6:13,1,10,BUF 20,47,17,C.J. Spiller up the middle for 4 yards (tackle by Bobby Wagner),0.280,0.270
3,5:34,2,6,BUF 24,47,17,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 1 yard (tackle by Malcolm Smith),0.270,-0.300
3,4:48,3,5,BUF 25,47,17,Ryan Fitzpatrick pass complete short middle to Brad Smith for 10 yards (tackle by Earl Thomas),-0.300,1.270
3,4:08,1,10,BUF 35,47,17,Ryan Fitzpatrick pass incomplete short middle intended for T.J. Graham,1.270,0.720
3,4:02,2,10,BUF 35,47,17,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,0.720,0.040
3,3:59,3,10,BUF 35,47,17,Ryan Fitzpatrick pass incomplete deep right intended for Brad Smith (defended by Byron Maxwell),0.040,-1.040
3,3:54,4,10,BUF 35,47,17,"Shawn Powell punts 51 yards, returned by Leon Washington for 86 yards. Penalty on Byron Maxwell: Illegal Block Above the Waist (Declined), Penalty on Ron Parker: Illegal Block Above the Waist, 7 yards",-1.040,0.380
3,3:34,1,10,SEA 7,47,17,Robert Turbin up the middle for 5 yards (tackle by Nick Barnett),-0.380,-0.420
3,2:58,2,5,SEA 12,47,17,Robert Turbin right guard for 1 yard (tackle by Marcell Dareus and Nick Barnett),-0.420,-0.720
3,2:20,3,4,SEA 13,47,17,Russell Wilson pass complete short right to Zach Miller for 14 yards (tackle by George Wilson),-0.720,0.740
3,1:42,1,10,SEA 27,47,17,Russell Wilson pass complete short right to Golden Tate for 9 yards (tackle by Aaron Williams),0.740,1.410
3,0:59,2,1,SEA 36,47,17,Russell Wilson pass incomplete (defended by Alex Carrington),1.410,0.700
3,0:51,3,1,SEA 36,47,17,Robert Turbin right guard for 2 yards (tackle by Mario Williams and Nick Barnett),0.700,1.470
3,0:10,1,10,SEA 38,47,17,Russell Wilson right tackle for 13 yards (tackle by Bryan Scott),1.470,2.320
Quarter,Time,Down,ToGo,Location,SEA,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,BUF 49,47,17,"Russell Wilson pass incomplete short left intended for Golden Tate. Penalty on John Moffitt: Offensive Holding, 10 yards (no play)",2.320,1.660
4,14:51,1,20,SEA 41,47,17,Leon Washington up the middle for 5 yards (tackle by Nick Barnett),1.660,1.110
4,14:12,2,15,SEA 46,47,17,Russell Wilson right guard for no gain (tackle by Kyle Moore),1.110,0.430
4,13:29,3,15,SEA 46,47,17,Russell Wilson pass complete short left to Golden Tate for 11 yards (tackle by George Wilson and Da'Norris Searcy),0.430,0.400
4,12:49,4,4,BUF 43,47,17,Michael Robinson left guard for 29 yards (tackle by Ron Brooks),0.400,4.650
4,12:03,1,10,BUF 14,47,17,Robert Turbin right tackle for 1 yard (tackle by George Wilson and Mario Williams),4.650,4.160
4,11:20,2,9,BUF 13,47,17,Russell Wilson pass complete short middle to Sidney Rice for 10 yards (tackle by George Wilson),4.160,6.510
4,10:38,1,3,BUF 3,47,17,Russell Wilson pass complete short right to Robert Turbin for -3 yards (tackle by Jairus Byrd),6.510,4.950
4,10:04,2,6,BUF 6,47,17,Robert Turbin left guard for 1 yard (tackle by George Wilson),4.950,4.260
4,9:24,3,5,BUF 5,47,17,Russell Wilson pass incomplete short right intended for Sidney Rice,4.260,3.010
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
4,9:20,4,5,BUF 5,50,17,Steven Hauschka 23 yard field goal good,3.010,3.000
4,9:17,,,SEA 35,50,17,"Steven Hauschka kicks off 73 yards, touchback",0.000,0.280
4,9:17,1,10,BUF 20,50,17,C.J. Spiller left tackle for 16 yards (tackle by Bobby Wagner),0.280,1.330
4,8:45,1,10,BUF 36,50,17,Ryan Fitzpatrick pass complete short left to Steve Johnson for 6 yards (tackle by Chris Maragos),1.330,1.600
4,8:18,2,4,BUF 42,50,17,C.J. Spiller right guard for 6 yards (tackle by Heath Farwell),1.600,2.130
4,7:35,1,10,BUF 48,50,17,Ryan Fitzpatrick pass complete short right to Scott Chandler for 4 yards (tackle by Chris Maragos),2.130,2.120
4,7:00,2,6,SEA 48,50,17,Tashard Choice right guard for 7 yards (tackle by Greg Scruggs),2.120,2.850
4,6:15,1,10,SEA 41,50,17,Ryan Fitzpatrick pass complete short left to T.J. Graham for 15 yards (tackle by Chris Maragos and Jeron Johnson),2.850,3.840
4,5:29,1,10,SEA 26,50,17,Ryan Fitzpatrick pass incomplete short middle intended for Scott Chandler (defended by Greg Scruggs),3.840,3.300
4,5:25,2,10,SEA 26,50,17,Ryan Fitzpatrick pass incomplete deep left intended for Steve Johnson (defended by Byron Maxwell),3.300,0.000
4,5:20,,,,50,17,Timeout #1 by Buffalo Bills,0.000,2.610
4,5:20,3,10,SEA 26,50,17,"Penalty on Cordy Glenn: False Start, 5 yards (no play)",2.610,1.950
4,5:20,3,15,SEA 31,50,17,Ryan Fitzpatrick sacked by Chris Clemons and Jason Jones for -6 yards,1.950,0.790
4,4:44,4,21,SEA 37,50,17,Ryan Fitzpatrick pass incomplete short right intended for Ruvell Martin,0.790,-1.400
4,4:37,1,10,SEA 37,50,17,Robert Turbin up the middle for 12 yards (tackle by Aaron Williams and Kelvin Sheppard),1.400,2.190
4,3:51,1,10,SEA 49,50,17,Robert Turbin up the middle for 1 yard (tackle by Kyle Williams),2.190,1.780
4,3:06,2,9,,50,17,Robert Turbin left guard for 5 yards (tackle by Kelvin Sheppard),1.780,1.750
4,2:24,3,4,BUF 45,50,17,Robert Turbin up the middle for 1 yard (tackle by Kelvin Sheppard and Nigel Bradham),1.750,0.330
4,2:00,4,3,BUF 44,50,17,"Jon Ryan punts 35 yards, fair catch by Justin Rogers",0.330,0.380
4,1:52,1,10,BUF 9,50,17,Tyler Thigpen pass complete short left to Dorin Dickerson for 10 yards (tackle by Jeremy Lane and Heath Farwell),-0.380,0.150
4,1:15,1,10,BUF 19,50,17,C.J. Spiller up the middle for 6 yards (tackle by Bruce Irvin),0.150,0.480
4,0:35,2,4,BUF 25,50,17,Tyler Thigpen pass complete short left to T.J. Graham for 12 yards,0.480,1.400
4,0:29,1,10,BUF 37,50,17,Tyler Thigpen pass incomplete short right intended for Brad Smith,1.400,0.860
4,0:24,2,10,BUF 37,50,17,Tyler Thigpen pass incomplete short right intended for Dorin Dickerson,0.860,0.170
4,0:21,3,10,BUF 37,50,17,Tyler Thigpen pass complete short left to Ruvell Martin for 8 yards (tackle by Richard Sherman),0.170,-0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
