Unnamed: 0,SEA,BUF
First Downs,22,21
Rush-Yds-TDs,32-270-4,21-118-1
Cmp-Att-Yd-TD-INT,14-23-205-1-0,24-43-247-1-2
Sacked-Yards,2-9,3-32
Net Pass Yards,196,215
Total Yards,466,333
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,4-32,4-20
Third Down Conv.,5-11,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,28:57,31:03
