Quarter,Time,Tm,Detail,SDG,DEN
1.0,5:58,Chargers,Legedu Naanee 2 yard pass from Philip Rivers (Nate Kaeding kick),7,0
2.0,10:54,Chargers,Nate Kaeding 28 yard field goal,10,0
,4:19,Chargers,Nate Kaeding 47 yard field goal,13,0
3.0,9:56,Broncos,Matt Prater 23 yard field goal,13,3
,6:47,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),20,3
4.0,14:06,Chargers,Nate Kaeding 28 yard field goal,23,3
,10:28,Chargers,Nate Kaeding 19 yard field goal,26,3
,0:34,Chargers,Mike Tolbert 8 yard rush (Nate Kaeding kick failed),32,3
