Unnamed: 0,SDG,DEN
First Downs,21,14
Rush-Yds-TDs,43-203-2,17-115-0
Cmp-Att-Yd-TD-INT,17-22-145-1-0,17-33-181-0-1
Sacked-Yards,0-0,3-25
Net Pass Yards,145,156
Total Yards,348,271
Fumbles-Lost,1-0,2-2
Turnovers,0,3
Penalties-Yards,1-15,9-65
Third Down Conv.,5-13,2-9
Fourth Down Conv.,1-1,0-3
Time of Possession,37:52,22:08
