Quarter,Time,Tm,Detail,GNB,ATL
1.0,3:50,Falcons,Younghoe Koo 24 yard field goal,0,3
2.0,13:33,Packers,Jayden Reed 9 yard pass from Jordan Love (Anders Carlson kick),7,3
,3:06,Packers,Anders Carlson 33 yard field goal,10,3
,0:12,Falcons,Drake London 3 yard pass from Desmond Ridder (Younghoe Koo kick failed),10,9
3.0,10:31,Packers,Dontayvion Wicks 32 yard pass from Jordan Love (Anders Carlson kick),17,9
,3:07,Falcons,Younghoe Koo 33 yard field goal,17,12
,0:56,Packers,Jayden Reed 10 yard pass from Jordan Love (Anders Carlson kick),24,12
4.0,11:48,Falcons,Desmond Ridder 6 yard rush (Younghoe Koo kick),24,19
,8:10,Falcons,Younghoe Koo 39 yard field goal,24,22
,0:57,Falcons,Younghoe Koo 25 yard field goal,24,25
