Unnamed: 0,GNB,ATL
First Downs,17,27
Rush-Yds-TDs,21-84-0,45-211-1
Cmp-Att-Yd-TD-INT,14-25-151-3-0,19-32-237-1-1
Sacked-Yards,1-11,1-2
Net Pass Yards,140,235
Total Yards,224,446
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,7-40,6-110
Third Down Conv.,3-9,6-15
Fourth Down Conv.,0-1,3-4
Time of Possession,23:45,36:15
