Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,JAX 20,0,0,T.J. Yeldon middle for 2 yards (tackle by Kendall Langford),0.280,0.000
1,14:26,2,8,JAX 22,0,0,Blake Bortles pass complete deep right to Clay Harbor for 17 yards (tackle by Jalil Brown),0.000,1.530
1,13:55,1,10,JAX 39,0,0,T.J. Yeldon middle for 14 yards (tackle by Mike Adams),1.530,2.460
1,13:24,1,10,IND 47,0,0,Blake Bortles pass complete short left to Julius Thomas for 5 yards (tackle by Dwight Lowery),2.460,2.590
1,12:52,2,5,IND 42,0,0,T.J. Yeldon middle for 13 yards (tackle by Mike Adams),2.590,3.640
1,12:14,1,10,IND 29,0,0,Blake Bortles pass incomplete deep middle intended for Allen Robinson,3.640,3.100
1,12:09,2,10,IND 29,0,0,T.J. Yeldon middle for 1 yard (tackle by Josh McNary),3.100,2.540
1,11:27,3,9,IND 28,0,0,Blake Bortles pass incomplete short left intended for Rashad Greene. Penalty on Jermey Parnell: Tripping (Declined),2.540,1.590
1,11:22,4,9,IND 28,0,3,Jason Myers 46 yard field goal good,1.590,3.000
1,11:22,,,JAX 35,0,3,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
1,11:17,1,10,IND 20,0,3,Frank Gore right end for 4 yards (tackle by Dan Skuta),0.280,0.270
1,10:39,2,6,IND 24,0,3,Matt Hasselbeck pass complete short left to Andre Johnson for 8 yards (tackle by Davon House),0.270,1.070
1,9:59,1,10,IND 32,0,3,Matt Hasselbeck pass complete deep left to T.Y. Hilton for 57 yards (tackle by Josh Evans),1.070,4.840
1,9:22,1,10,JAX 11,0,3,Frank Gore middle for 7 yards (tackle by Telvin Smith),4.840,5.470
1,9:22,2,3,JAX 4,0,3,"Penalty on Matt Hasselbeck: Delay of Game, 5 yards (no play)",5.470,4.510
1,8:32,2,8,JAX 9,0,3,Frank Gore right guard for 2 yards (tackle by Aaron Colvin),4.510,3.980
1,7:56,3,6,JAX 7,0,3,Matt Hasselbeck pass incomplete short right intended for Frank Gore,3.980,2.980
1,7:51,4,6,JAX 7,3,3,Adam Vinatieri 25 yard field goal good,2.980,3.000
1,7:51,,,IND 35,3,3,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,7:47,1,10,JAX 20,3,3,"Blake Bortles sacked by Trent Cole for -6 yards. Blake Bortles fumbles (forced by Trent Cole), recovered by Zane Beadles at JAX-11",0.280,-1.440
1,7:06,2,19,JAX 11,3,3,Blake Bortles pass incomplete short left intended for Rashad Greene (defended by D'Qwell Jackson),-1.440,-2.470
1,7:02,3,19,JAX 11,3,3,Blake Bortles pass incomplete short left intended for Marqise Lee,-2.470,-2.490
1,6:59,4,19,JAX 11,3,3,"Bryan Anger punts 51 yards, returned by Quan Bray for 3 yards (tackle by Carson Tinker)",-2.490,-1.660
1,6:45,1,10,IND 41,3,3,"Penalty on Roy Miller: Encroachment, 5 yards (no play)",1.660,2.390
1,6:45,1,5,IND 46,3,3,Frank Gore middle for 6 yards (tackle by Jordan Tripp),2.390,2.390
1,6:06,1,10,JAX 48,3,3,Frank Gore middle for 3 yards (tackle by Jonathan Cyprien),2.390,2.250
1,5:30,2,7,JAX 45,3,3,Matt Hasselbeck pass incomplete short left intended for Frank Gore (defended by Josh Evans),2.250,1.550
1,5:27,3,7,JAX 45,3,3,Matt Hasselbeck pass incomplete short middle intended for Donte Moncrief (defended by Davon House),1.550,0.270
1,5:22,4,7,JAX 45,3,3,"Pat McAfee punts 45 yards, touchback",0.270,-0.280
1,5:14,1,10,JAX 20,3,3,T.J. Yeldon middle for no gain (tackle by Kendall Langford),0.280,-0.270
1,4:41,2,10,JAX 20,3,3,T.J. Yeldon middle for 6 yards (tackle by D'Qwell Jackson),-0.270,-0.160
1,4:01,3,4,JAX 26,3,3,Blake Bortles sacked by D'Qwell Jackson for -7 yards,-0.160,-2.140
1,3:21,4,11,JAX 19,3,3,"Bryan Anger punts 43 yards, returned by Quan Bray for 4 yards (tackle by Neal Sterling). Penalty on D'Joun Smith: Illegal Block Above the Waist, 10 yards",-2.140,-1.070
1,3:09,1,10,IND 32,3,3,Frank Gore left end for 3 yards (tackle by Telvin Smith),1.070,0.930
1,2:28,2,7,IND 35,3,3,Frank Gore middle for no gain (tackle by Jordan Tripp),0.930,0.230
1,1:48,3,7,IND 35,3,3,Matt Hasselbeck pass complete short right to Zurlon Tipton for 27 yards (tackle by Sergio Brown),0.230,3.050
1,1:07,1,10,JAX 38,3,3,Matt Hasselbeck pass complete short right to Donte Moncrief for 9 yards,3.050,3.720
1,0:50,2,1,JAX 29,3,3,Frank Gore middle for 4 yards (tackle by Telvin Smith),3.720,3.910
1,0:15,1,10,JAX 25,3,3,Matt Hasselbeck pass complete short right to T.Y. Hilton for 14 yards (tackle by Davon House),3.910,4.840
Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,JAX 11,3,3,Matt Hasselbeck pass incomplete short middle intended for Frank Gore,4.840,4.140
2,14:54,2,10,JAX 11,3,3,Frank Gore right end for 1 yard (tackle by Abry Jones),4.140,3.300
2,14:14,3,9,JAX 10,3,3,Matt Hasselbeck pass complete short right to Zurlon Tipton for 7 yards (tackle by Telvin Smith). Penalty on IND: Illegal Formation (Declined),3.300,3.050
2,13:50,4,2,JAX 3,6,3,Adam Vinatieri 21 yard field goal good,3.050,3.000
2,13:50,,,IND 35,6,3,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
2,13:47,1,10,JAX 20,6,3,Blake Bortles pass incomplete short left intended for Julius Thomas (defended by D'Qwell Jackson),0.280,-0.270
2,13:43,2,10,JAX 20,6,3,T.J. Yeldon middle for 3 yards (tackle by Jonathan Newsome and T.Y. McGill),-0.270,-0.560
2,13:43,3,7,JAX 23,6,3,"Penalty on Zane Beadles: False Start, 5 yards (no play)",-0.560,-1.330
2,12:53,3,12,JAX 18,6,3,Blake Bortles pass complete short left to T.J. Yeldon for 1 yard (tackle by Clayton Geathers),-1.330,-2.140
2,12:13,4,11,JAX 19,6,3,"Bryan Anger punts 53 yards, returned by Quan Bray for no gain",-2.140,-0.810
2,12:02,1,10,IND 28,6,3,Matt Hasselbeck pass incomplete deep left intended for Coby Fleener,0.810,0.260
2,11:56,2,10,IND 28,6,3,Frank Gore left end for 3 yards (tackle by Jonathan Cyprien and Nick Marshall),0.260,-0.030
2,11:17,3,7,IND 31,6,3,Matt Hasselbeck pass complete short right to Zurlon Tipton for 12 yards (tackle by Davon House),-0.030,1.800
2,10:43,1,10,IND 43,6,3,Matt Hasselbeck pass incomplete deep right intended for Donte Moncrief,1.800,1.250
2,10:37,2,10,IND 43,6,3,Matt Hasselbeck pass incomplete short right intended for Andre Johnson,1.250,0.560
2,10:33,3,10,IND 43,6,3,Matt Hasselbeck sacked by Andre Branch for -11 yards,0.560,-1.240
2,9:33,4,21,IND 32,6,3,"Pat McAfee punts 47 yards, out of bounds",-1.240,-0.340
2,9:25,1,10,JAX 21,6,3,Blake Bortles pass incomplete deep right intended for Allen Robinson,0.340,-0.200
2,9:19,2,10,JAX 21,6,3,Blake Bortles pass complete short right to Allen Hurns for 16 yards (tackle by Jalil Brown),-0.200,1.400
2,8:54,1,10,JAX 37,6,3,"Denard Robinson left end for 14 yards (tackle by Josh McNary). Penalty on Marcedes Lewis: Offensive Holding, 10 yards (no play)",1.400,0.740
2,8:28,1,20,JAX 27,6,3,Blake Bortles pass complete short left to Marcedes Lewis for 14 yards (tackle by Darius Butler),0.740,1.400
2,7:43,2,6,JAX 41,6,3,Denard Robinson right guard for 2 yards (tackle by Bjoern Werner),1.400,0.960
2,7:03,3,4,JAX 43,6,3,Blake Bortles pass incomplete deep middle intended for Marqise Lee,0.960,-0.520
2,6:57,4,4,JAX 43,6,3,Bryan Anger punts 35 yards,-0.520,-0.410
2,6:47,1,10,IND 22,6,3,Frank Gore left end for 1 yard (tackle by Michael Bennett),0.410,0.000
2,6:12,2,9,IND 23,6,3,Matt Hasselbeck pass incomplete short left intended for Donte Moncrief,0.000,-0.690
2,6:10,3,9,IND 23,6,3,"Matt Hasselbeck pass complete short left to Zurlon Tipton for 15 yards (tackle by Nick Marshall). Penalty on Joe Reitz: Offensive Holding, 10 yards (no play)",-0.690,-2.420
2,5:37,3,19,IND 13,6,3,Matt Hasselbeck pass incomplete short right intended for Phillip Dorsett,-2.420,-2.490
2,5:31,4,19,IND 13,6,3,"Pat McAfee punts 50 yards, out of bounds",-2.490,-1.400
2,5:21,1,10,JAX 37,6,3,Blake Bortles pass incomplete deep right intended for Rashad Greene (defended by Darius Butler),1.400,0.860
2,5:15,2,10,JAX 37,6,3,T.J. Yeldon middle for 3 yards (tackle by Vontae Davis),0.860,0.560
2,4:52,3,7,JAX 40,6,3,Blake Bortles pass incomplete short middle intended for Allen Robinson (defended by D'Qwell Jackson),0.560,-0.720
2,4:48,4,7,JAX 40,6,3,"Bryan Anger punts 46 yards, fair catch by Quan Bray",-0.720,0.280
2,4:39,1,10,IND 14,6,3,Matt Hasselbeck pass complete deep left to T.Y. Hilton for 41 yards (tackle by Josh Evans),-0.280,2.590
2,3:54,1,10,JAX 45,6,3,Matt Hasselbeck pass complete short left to Frank Gore for -1 yards (tackle by Jared Odrick),2.590,1.910
2,3:07,2,11,JAX 46,6,3,Matt Hasselbeck pass complete short left to Dan Herron for 4 yards (tackle by Jonathan Cyprien and Nick Marshall),1.910,1.750
2,2:26,3,7,JAX 42,6,3,Matt Hasselbeck pass incomplete short left intended for Donte Moncrief,1.750,0.460
2,2:21,4,7,JAX 42,6,3,Pat McAfee punts 37 yards,0.460,0.380
2,2:12,1,10,JAX 5,6,3,T.J. Yeldon left end for 5 yards (tackle by Trent Cole),-0.380,-0.420
2,2:00,2,5,JAX 10,12,3,"Blake Bortles for no gain. Blake Bortles fumbles, recovered by Robert Mathis at JAX--5, touchdown",-0.420,-7.000
2,1:56,,,JAX 10,13,3,Adam Vinatieri kicks extra point good,0.000,0.000
2,1:56,,,IND 35,13,3,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
2,1:56,1,10,JAX 20,13,3,Blake Bortles pass incomplete short right intended for Marqise Lee,0.280,-0.270
2,1:53,2,10,JAX 20,13,3,Blake Bortles pass complete short right to Marqise Lee for 21 yards (tackle by Darius Butler),-0.270,1.660
2,1:32,1,10,JAX 41,13,3,Blake Bortles pass complete short middle to Julius Thomas for 30 yards (tackle by D'Qwell Jackson),1.660,1.660
2,1:22,1,10,JAX 41,13,3,Timeout #1 by Jacksonville Jaguars,1.660,3.640
2,1:22,1,10,IND 29,13,3,"Blake Bortles sacked by Mike Adams for -8 yards. Blake Bortles fumbles (forced by Mike Adams), recovered by Clayton Geathers at IND-37 and returned for 29 yards (tackle by T.J. Yeldon)",3.640,-3.310
2,1:11,1,10,JAX 34,13,9,"Matt Hasselbeck sacked by Andre Branch for -8 yards. Matt Hasselbeck fumbles (forced by Andre Branch), recovered by Andre Branch at IND-49 and returned for 49 yards, touchdown",3.310,-7.000
2,1:01,,,IND 34,13,9,Jason Myers kicks extra point no good,0.000,-1.000
2,1:01,,,JAX 35,13,9,"Jason Myers kicks off 65 yards, touchback. Penalty on Clayton Geathers: Unnecessary Roughness, 10 yards",0.000,0.380
2,1:01,1,10,IND 10,13,9,Matt Hasselbeck pass incomplete short right intended for Donte Moncrief,-0.380,-0.780
2,0:56,2,10,IND 10,13,9,Frank Gore left end for 14 yards (tackle by Jonathan Cyprien and Sergio Brown),-0.780,0.540
2,0:31,1,10,IND 24,13,9,Matt Hasselbeck sacked by Chris Clemons for -5 yards,0.540,-0.740
Quarter,Time,Down,ToGo,Location,IND,JAX,Detail,EPB,EPA
