Unnamed: 0,IND,JAX
First Downs,17,24
Rush-Yds-TDs,23-95-0,29-154-2
Cmp-Att-Yd-TD-INT,20-43-260-0-1,16-30-250-3-0
Sacked-Yards,3-33,3-24
Net Pass Yards,227,226
Total Yards,322,380
Fumbles-Lost,1-1,3-2
Turnovers,2,2
Penalties-Yards,8-85,5-40
Third Down Conv.,4-16,2-9
Fourth Down Conv.,1-2,1-1
Time of Possession,30:48,29:12
