Unnamed: 0,NWE,NYG
First Downs,22,21
Rush-Yds-TDs,23-77-1,23-80-0
Cmp-Att-Yd-TD-INT,26-42-334-2-1,24-44-361-2-0
Sacked-Yards,3-5,3-19
Net Pass Yards,329,342
Total Yards,406,422
Fumbles-Lost,2-1,3-1
Turnovers,2,1
Penalties-Yards,7-93,8-49
Third Down Conv.,7-14,7-15
Fourth Down Conv.,1-1,0-0
Time of Possession,31:36,28:24
