Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA
1,5:02,4,7,NWE 23,7,7,"Ryan Allen punts 57 yards, returned by Dwayne Harris for 11 yards (tackle by Matt Slater). Penalty on James Morris: Illegal Block Above the Waist, 10 yards",-1.830,-0.280
1,4:52,1,10,NYG 20,7,7,Eli Manning pass incomplete deep middle intended for Odell Beckham (defended by Jonathan Freeny),0.280,-0.270
1,4:45,2,10,NYG 20,7,7,Rashad Jennings right guard for 2 yards (tackle by Dont'a Hightower and Jonathan Freeny),-0.270,-0.690
1,4:07,3,8,NYG 22,7,7,Eli Manning pass complete short left to Will Tye for 7 yards (tackle by Jonathan Freeny),-0.690,-1.440
1,3:29,4,1,NYG 29,7,7,"Brad Wing punts 41 yards, fair catch by Danny Amendola",-1.440,-0.940
1,3:22,1,10,NWE 30,7,7,LeGarrette Blount right guard for 3 yards (tackle by Craig Dahl and Jasper Brinkley),0.940,0.800
1,2:44,2,7,NWE 33,7,7,Tom Brady pass complete short right to Danny Amendola for 5 yards (tackle by Devon Kennard),0.800,0.760
1,2:01,3,2,NWE 38,7,7,Tom Brady pass complete short middle to Julian Edelman for 30 yards (tackle by Jasper Brinkley),0.760,3.450
1,1:27,1,10,NYG 32,7,7,Tom Brady pass incomplete deep left intended for Scott Chandler (defended by Jayron Hosley),3.450,3.450
1,1:19,1,10,NYG 32,7,7,Timeout #1 by New England Patriots,3.450,2.900
1,1:19,2,10,NYG 32,7,7,Tom Brady pass complete short right to Julian Edelman for 6 yards (tackle by Dominique Rodgers-Cromartie),2.900,3.010
1,0:43,3,4,NYG 26,7,7,Tom Brady pass complete short left to Julian Edelman for 12 yards (tackle by Jasper Brinkley),3.010,4.650
Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 14,7,7,LeGarrette Blount middle for 2 yards (tackle by Jonathan Casillas and Jasper Brinkley),4.650,4.330
2,14:24,2,8,NYG 12,7,7,Tom Brady pass complete short left to Rob Gronkowski for 4 yards (tackle by Jayron Hosley),4.330,4.280
2,13:40,3,4,NYG 8,7,7,Tom Brady sacked by Craig Dahl for -5 yards,4.280,2.570
2,13:02,4,9,NYG 13,10,7,Stephen Gostkowski 31 yard field goal good,2.570,3.000
2,13:02,,,NWE 35,10,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
2,12:54,1,10,NYG 20,10,7,Eli Manning pass incomplete deep left intended for Shane Vereen,0.280,-0.270
2,12:48,2,10,NYG 20,10,7,Eli Manning pass incomplete short middle intended for Shane Vereen,-0.270,-0.960
2,12:43,3,10,NYG 20,10,7,Eli Manning pass complete short left to Dwayne Harris for 10 yards (tackle by Justin Coleman),-0.960,0.940
2,12:20,1,10,NYG 30,10,7,Shane Vereen middle for 1 yard (tackle by Patrick Chung and Jonathan Freeny),0.940,0.530
2,11:49,2,9,NYG 31,10,7,Eli Manning pass complete short middle to Shane Vereen for 11 yards (tackle by Jonathan Freeny),0.530,1.730
2,11:14,1,10,NYG 42,10,7,Eli Manning pass complete short middle to Dwayne Harris for 12 yards (tackle by Dont'a Hightower and Justin Coleman),1.730,2.520
2,10:43,1,10,NWE 46,10,7,Andre Williams middle for 3 yards (tackle by Jabaal Sheard),2.520,2.380
2,10:16,2,7,NWE 43,10,7,Andre Williams left tackle for -1 yards (tackle by Akiem Hicks and Dominique Easley),2.380,1.550
2,9:38,3,8,NWE 44,10,7,Eli Manning pass complete deep left to Myles White for 28 yards (tackle by Justin Coleman),1.550,4.510
2,9:02,1,10,NWE 16,10,7,"Eli Manning sacked by Chandler Jones for -6 yards. Eli Manning fumbles (forced by Chandler Jones), recovered by Justin Coleman at NWE-16 (tackle by Dwayne Harris)",4.510,0.140
2,8:52,1,10,NWE 16,10,7,Tom Brady pass incomplete short left intended for Michael Williams (defended by Jason Pierre-Paul),-0.140,-0.660
2,8:48,2,10,NWE 16,10,7,LeGarrette Blount left tackle for 2 yards (tackle by Jonathan Casillas and Cullen Jenkins),-0.660,-1.070
2,8:08,3,8,NWE 18,10,7,"Tom Brady pass complete short middle to Rob Gronkowski for 20 yards (tackle by Jonathan Casillas and Brandon Meriweather). Penalty on Rob Gronkowski: Offensive Pass Interference, 9 yards (no play)",-1.070,-2.240
2,7:43,3,17,NWE 9,10,7,James White right tackle for 5 yards (tackle by Trevin Wade),-2.240,-2.470
2,7:11,4,12,NWE 14,10,7,"Ryan Allen punts 51 yards, returned by Dwayne Harris for 11 yards (tackle by Eric Martin)",-2.470,-1.990
2,6:59,1,10,NYG 46,10,7,Orleans Darkwa left tackle for 3 yards (tackle by Jabaal Sheard and Malcom Brown),1.990,1.860
2,6:27,2,7,NYG 49,10,7,Eli Manning pass complete short left to Will Tye for 6 yards (tackle by Dont'a Hightower and Patrick Chung),1.860,1.950
2,5:44,3,1,NWE 45,10,7,Orleans Darkwa left end for 4 yards (tackle by Dont'a Hightower and Patrick Chung),1.950,2.850
2,5:10,1,10,NWE 41,10,7,Orleans Darkwa right guard for 4 yards (tackle by Patrick Chung and Malcom Brown),2.850,2.850
2,4:39,2,6,NWE 37,10,7,Eli Manning pass complete short left to Jerome Cunningham for 16 yards (tackle by Jonathan Freeny),2.850,4.170
2,4:26,1,10,NWE 21,10,7,Orleans Darkwa right tackle for 2 yards (tackle by Rob Ninkovich),4.170,3.900
2,3:59,2,8,NWE 19,10,7,Eli Manning pass incomplete deep middle intended for Dwayne Harris,3.900,3.180
2,3:53,3,8,NWE 19,10,7,Eli Manning pass incomplete deep middle intended for Myles White (defended by Justin Coleman),3.180,2.180
2,3:53,4,8,NWE 19,10,10,Josh Brown 37 yard field goal good,2.180,3.000
2,3:53,,,NYG 35,10,10,"Josh Brown kicks off 68 yards, returned by Danny Amendola for 22 yards (tackle by Craig Dahl)",0.000,-0.150
2,3:37,1,10,NWE 19,10,10,Tom Brady pass complete short right to Danny Amendola for 9 yards (tackle by Jasper Brinkley),0.150,0.880
2,3:06,2,1,NWE 28,10,10,LeGarrette Blount left tackle for no gain (tackle by Jonathan Casillas and Markus Kuhn),0.880,0.100
2,2:27,3,1,NWE 28,10,10,Tom Brady pass complete short left to Rob Gronkowski for 12 yards (tackle by Craig Dahl),0.100,1.600
2,2:00,1,10,NWE 40,10,10,Tom Brady pass complete short right to Danny Amendola for 7 yards (tackle by Dominique Rodgers-Cromartie),1.600,2.000
2,1:28,2,3,NWE 47,10,10,Tom Brady pass incomplete short left intended for Brandon LaFell (defended by Jayron Hosley),2.000,2.000
2,1:22,2,3,NWE 47,10,10,Timeout #2 by New England Patriots,2.000,1.290
2,1:22,3,3,NWE 47,10,10,Tom Brady pass incomplete deep right intended for Rob Gronkowski (defended by Craig Dahl). Penalty on Danny Amendola: Illegal Motion (Declined),1.290,-0.260
2,1:17,4,3,NWE 47,10,10,"Ryan Allen punts 40 yards, returned by Dwayne Harris for 3 yards (tackle by Matt Slater). Penalty on Brandon Bolden: Offensive Holding, 10 yards",-0.260,-0.670
2,1:09,1,10,NYG 26,10,10,Eli Manning pass complete deep right to Rueben Randle for 31 yards (tackle by Logan Ryan),0.670,0.670
2,1:00,1,10,NYG 26,10,10,Timeout #1 by New York Giants,0.670,2.720
2,1:00,1,10,NWE 43,10,10,Eli Manning pass incomplete deep right intended for Odell Beckham,2.720,2.180
2,0:55,2,10,NWE 43,10,10,Eli Manning pass incomplete short left intended for Will Tye,2.180,1.490
2,0:52,3,10,NWE 43,10,10,Eli Manning pass complete short left to Dwayne Harris for 11 yards (tackle by Justin Coleman),1.490,1.490
2,0:39,3,10,NWE 43,10,10,Timeout #2 by New York Giants,1.490,3.450
2,0:39,1,10,NWE 32,10,10,Eli Manning pass complete deep middle to Will Tye for 31 yards (tackle by Devin McCourty),3.450,3.450
2,0:22,1,10,NWE 32,10,10,Timeout #3 by New York Giants,3.450,6.970
2,0:22,1,1,NWE 1,10,10,Eli Manning pass incomplete short left intended for Will Tye,6.970,6.970
2,0:18,1,1,NWE 1,10,10,Timeout #3 by New England Patriots,6.970,5.910
2,0:18,2,1,NWE 1,10,16,"Eli Manning pass complete short left to Dwayne Harris for 1 yard, touchdown",5.910,7.000
2,0:18,,,NWE 1,10,17,Josh Brown kicks extra point good,0.000,0.000
2,0:18,,,NYG 35,10,17,"Josh Brown kicks off 54 yards, returned by Danny Amendola for 12 yards (tackle by Andre Williams)",0.000,-0.480
2,0:09,1,10,NWE 23,10,17,Tom Brady kneels for -1 yards,0.480,-0.200
Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NWE 35,10,17,"Stephen Gostkowski kicks off 65 yards, returned by Dwayne Harris for 20 yards (tackle by Patrick Chung)",0.000,-0.280
3,14:55,1,10,NYG 20,10,17,Rashad Jennings left guard for 2 yards (tackle by Chandler Jones and Jonathan Freeny),0.280,0.000
3,14:29,2,8,NYG 22,10,17,Eli Manning pass complete short right to Will Tye for 10 yards (tackle by Patrick Chung),0.000,1.070
3,14:00,1,10,NYG 32,10,17,Rashad Jennings right tackle for 3 yards (tackle by Dont'a Hightower and Sealver Siliga),1.070,0.930
3,13:26,2,7,NYG 35,10,17,Rashad Jennings middle for 6 yards (tackle by Jonathan Freeny and Patrick Chung),0.930,1.030
3,12:45,3,1,NYG 41,10,17,"Eli Manning pass incomplete short right intended for Shane Vereen (defended by Patrick Chung). Penalty on Patrick Chung: Defensive Pass Interference, 15 yards (no play)",1.030,2.650
3,12:38,1,10,NWE 44,10,17,"Eli Manning pass incomplete short right intended for Odell Beckham (defended by Malcolm Butler). Penalty on Ereck Flowers: Illegal Use of Hands, 10 yards (no play)",2.650,1.990
3,12:33,1,20,NYG 46,10,17,Shane Vereen middle for 3 yards (tackle by Dominique Easley and Jonathan Freeny),1.990,1.170
3,12:03,2,17,NYG 49,10,17,Eli Manning middle for 10 yards (tackle by Devin McCourty),1.170,1.820
3,11:21,3,7,NWE 41,10,17,"Eli Manning pass incomplete deep right intended for Odell Beckham. Penalty on Malcolm Butler: Defensive Pass Interference, 21 yards (no play)",1.820,4.240
3,11:11,1,10,NWE 20,10,17,Eli Manning pass complete short right to Shane Vereen for 1 yard (tackle by Logan Ryan),4.240,3.820
3,10:50,2,9,NWE 19,10,17,"Penalty on Weston Richburg: False Start, 5 yards (no play)",3.820,3.150
3,10:25,2,14,NWE 24,10,17,Eli Manning pass complete short middle to Odell Beckham for 4 yards (tackle by Malcolm Butler),3.150,3.010
3,9:44,3,10,NWE 20,10,17,Eli Manning pass incomplete deep middle intended for Jerome Cunningham,3.010,2.120
3,9:37,4,10,NWE 20,10,20,Josh Brown 38 yard field goal good,2.120,3.000
3,9:37,,,NYG 35,10,20,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
3,9:32,1,10,NWE 20,10,20,Brandon Bolden middle for -3 yards (tackle by Jasper Brinkley),0.280,-0.790
3,8:57,2,13,NWE 17,10,20,LeGarrette Blount right tackle for 4 yards (tackle by Robert Ayers),-0.790,-0.820
3,8:16,3,9,NWE 21,10,20,Tom Brady pass incomplete short right intended for Rob Gronkowski,-0.820,-1.960
3,8:09,4,9,NWE 21,10,20,"Ryan Allen punts 52 yards, returned by Dwayne Harris for 17 yards (tackle by Eric Martin)",-1.960,-1.860
3,7:56,1,10,NYG 44,10,20,Orleans Darkwa right end for 2 yards (tackle by Patrick Chung and Alan Branch),1.860,1.590
3,7:23,2,8,NYG 46,10,20,Eli Manning pass incomplete deep left intended for Myles White,1.590,0.890
3,7:14,3,8,NYG 46,10,20,Eli Manning pass complete short middle to Odell Beckham for 1 yard (tackle by Malcolm Butler),0.890,-0.260
3,6:36,4,7,NYG 47,10,20,"Brad Wing punts 42 yards, returned by Danny Amendola for 82 yards (tackle by Zak DeOssie)",-0.260,-5.600
3,6:09,1,7,NYG 7,10,20,LeGarrette Blount right guard for 3 yards (tackle by Jonathan Casillas),5.600,5.340
3,5:31,2,4,NYG 4,10,20,"Tom Brady pass incomplete short middle intended for Brandon LaFell (defended by Trumaine McBride). Penalty on Trumaine McBride: Defensive Pass Interference, 3 yards (no play)",5.340,6.970
3,5:24,1,1,NYG 1,10,20,LeGarrette Blount left tackle for no gain (tackle by Kerry Wynn and Mark Herzlich),6.970,5.910
3,4:52,2,1,NYG 1,16,20,"LeGarrette Blount left guard for 1 yard, touchdown",5.910,7.000
3,4:52,,,NYG 1,17,20,Stephen Gostkowski kicks extra point good,0.000,0.000
3,4:52,,,NWE 35,17,20,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
3,4:46,1,10,NYG 20,17,20,Shane Vereen middle for 1 yard (tackle by Logan Ryan and Sealver Siliga),0.280,-0.130
3,4:10,2,9,NYG 21,17,20,Eli Manning pass complete short middle to Rueben Randle for 13 yards (tackle by Devin McCourty),-0.130,1.200
3,3:35,1,10,NYG 34,17,20,Rashad Jennings left guard for 3 yards (tackle by Sealver Siliga and Patrick Chung),1.200,1.060
3,3:10,2,7,NYG 37,17,20,"Penalty on Dallas Reynolds: False Start, 5 yards (no play)",1.060,0.390
3,2:43,2,12,NYG 32,17,20,"Eli Manning pass incomplete deep right intended for Myles White (defended by Rashaan Melvin). Penalty on Rashaan Melvin: Defensive Pass Interference, 18 yards (no play)",0.390,2.260
3,2:38,1,10,,17,20,Rashad Jennings left guard for 5 yards (tackle by Dont'a Hightower and Patrick Chung),2.260,2.390
3,2:02,2,5,NWE 45,17,20,Eli Manning pass complete short middle to Rueben Randle for 7 yards (tackle by Malcom Brown),2.390,3.050
3,1:35,1,10,NWE 38,17,20,Rashad Jennings right guard for 3 yards (tackle by Sealver Siliga and Malcom Brown),3.050,2.910
3,1:06,2,7,NWE 35,17,20,Eli Manning pass incomplete short right intended for Dwayne Harris,2.910,2.210
3,1:00,3,7,NWE 35,17,20,Eli Manning pass incomplete short left intended for Odell Beckham (defended by Malcolm Butler),2.210,0.970
3,0:54,4,7,NWE 35,17,23,Josh Brown 53 yard field goal good,0.970,3.000
3,0:54,,,NYG 35,17,23,"Josh Brown kicks off 58 yards, returned by Danny Amendola for 13 yards (tackle by Tramain Jacobs)",0.000,-0.280
3,0:45,1,10,NWE 20,17,23,Tom Brady pass incomplete deep right intended for Scott Chandler,0.280,-0.270
3,0:40,2,10,NWE 20,17,23,Tom Brady pass complete short right to Rob Gronkowski for 14 yards (tackle by Jasper Brinkley),-0.270,1.200
3,0:17,1,10,NWE 34,17,23,LeGarrette Blount right end for 4 yards (tackle by Dominique Rodgers-Cromartie and Damontre Moore),1.200,1.200
Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,NWE 38,17,23,"Tom Brady sacked by Jasper Brinkley for -4 yards. Tom Brady fumbles (forced by Jasper Brinkley), recovered by Markus Kuhn at NWE-39 and returned for 8 yards (tackle by Cameron Fleming)",1.200,-3.510
4,14:51,1,10,NWE 31,17,23,"Eli Manning pass complete short right to Rueben Randle for 11 yards (tackle by Logan Ryan). Penalty on Devin McCourty: Illegal Contact (Offsetting), Penalty on Rueben Randle: Offensive Pass Interference (Offsetting) (no play)",3.510,3.510
4,14:22,1,10,NWE 31,17,23,Eli Manning sacked by Rob Ninkovich for -13 yards,3.510,1.210
4,13:39,2,23,NWE 44,17,23,Eli Manning pass incomplete deep left intended for Rueben Randle (defended by Logan Ryan),1.210,0.560
4,13:30,3,23,NWE 44,17,23,Eli Manning pass complete short right to Will Tye for 2 yards (tackle by Rob Ninkovich),0.560,0.460
4,13:07,4,21,NWE 42,17,23,"Brad Wing punts 28 yards, fair catch by Danny Amendola",0.460,0.280
4,12:58,1,10,NWE 14,17,23,Tom Brady pass complete short right to Danny Amendola for 6 yards (tackle by Brandon Meriweather),-0.280,0.150
4,12:30,2,4,NWE 20,17,23,LeGarrette Blount right tackle for 4 yards (tackle by Brandon Meriweather and Craig Dahl),0.150,0.540
4,11:51,1,10,NWE 24,23,23,"Tom Brady pass complete deep middle to Rob Gronkowski for 76 yards, touchdown",0.540,7.000
4,11:51,,,NYG 24,24,23,Stephen Gostkowski kicks extra point good,0.000,0.000
4,11:51,,,NWE 35,24,23,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
4,11:33,1,10,NYG 20,24,23,Eli Manning pass incomplete short right intended for Odell Beckham (defended by Malcolm Butler),0.280,-0.270
4,11:28,2,10,NYG 20,24,23,Eli Manning pass incomplete short right intended for Odell Beckham,-0.270,-0.960
4,11:21,3,10,NYG 20,24,23,Eli Manning pass incomplete deep right intended for Odell Beckham,-0.960,-2.030
4,11:14,4,10,NYG 20,24,23,"Brad Wing punts 53 yards, returned by Danny Amendola for 7 yards (tackle by Zak DeOssie). Penalty on Patrick Chung: Illegal Block Above the Waist, 10 yards",-2.030,-0.150
4,11:05,1,10,NWE 19,24,23,Tom Brady pass complete short middle to Danny Amendola for 6 yards (tackle by Jasper Brinkley),0.150,0.480
4,10:34,2,4,NWE 25,24,23,"Tom Brady sacked by Robert Ayers for -3 yards. Tom Brady fumbles (forced by Robert Ayers), recovered by Bryan Stork at NWE-25",0.480,-0.290
4,9:41,3,4,NWE 25,24,23,Tom Brady pass complete short right to James White for 6 yards (tackle by Jonathan Casillas),-0.290,1.000
4,9:04,1,10,NWE 31,24,23,Tom Brady pass complete deep left to Brandon LaFell for 54 yards (tackle by Brandon Meriweather),1.000,4.580
4,8:14,1,10,NYG 15,24,23,Tom Brady pass complete short left to LeGarrette Blount for 1 yard (tackle by Jasper Brinkley),4.580,4.110
4,7:37,2,9,NYG 14,24,23,LeGarrette Blount right guard for 13 yards (tackle by Dominique Rodgers-Cromartie and George Selvie),4.110,6.970
4,7:09,1,1,NYG 1,24,23,"LeGarrette Blount right end for 1 yard. Penalty on David Andrews: Offensive Holding, 10 yards (no play)",6.970,4.770
4,7:07,1,11,NYG 11,24,23,"Tom Brady sacked by Jason Pierre-Paul for -4 yards. Penalty on NYG: Illegal Use of Hands, 5 yards (no play)",4.770,5.830
4,7:00,1,6,NYG 6,24,23,LeGarrette Blount right guard for 1 yard (tackle by Markus Kuhn and Landon Collins),5.830,5.150
4,6:10,2,5,NYG 5,24,23,Tom Brady pass incomplete short left intended for Brandon LaFell is intercepted by Trumaine McBride at NYG-1 and returned for 2 yards,5.150,0.380
4,6:01,1,10,NYG 3,24,23,Rashad Jennings middle for 4 yards (tackle by Jerod Mayo and Patrick Chung),-0.380,-0.490
4,5:31,2,6,NYG 7,24,23,Eli Manning pass complete short middle to Rashad Jennings for 5 yards (tackle by Alan Branch and Jerod Mayo),-0.490,-0.370
4,4:48,3,1,NYG 12,24,23,Eli Manning pass complete short middle to Odell Beckham for 12 yards (tackle by Dont'a Hightower and Rashaan Melvin),-0.370,0.540
4,4:15,1,10,NYG 24,24,23,Shane Vereen middle for 9 yards (tackle by Jerod Mayo),0.540,1.210
4,3:47,2,1,NYG 33,24,23,Eli Manning pass incomplete short left intended for Odell Beckham,1.210,0.500
4,3:39,3,1,NYG 33,24,23,Rashad Jennings middle for 2 yards (tackle by Dont'a Hightower and Rob Ninkovich),0.500,1.270
4,3:08,1,10,NYG 35,24,23,Eli Manning pass complete short right to Rashad Jennings for 7 yards (tackle by Jerod Mayo),1.270,1.670
4,2:40,2,3,NYG 42,24,23,Eli Manning pass incomplete short middle intended for Rashad Jennings,1.670,0.960
4,2:34,3,3,NYG 42,24,23,Eli Manning pass complete deep left to Dwayne Harris for 30 yards (tackle by Duron Harmon and Rashaan Melvin),0.960,0.960
4,2:14,3,3,NYG 42,24,23,Timeout #1 by New England Patriots,0.960,3.710
4,2:14,1,10,NWE 28,24,23,Rashad Jennings left tackle for 5 yards (tackle by Malcom Brown and Dont'a Hightower),3.710,3.710
4,2:10,1,10,NWE 28,24,23,Timeout #2 by New England Patriots,3.710,3.840
4,2:10,2,5,NWE 23,24,23,Eli Manning pass complete deep left to Dwayne Harris for 18 yards (tackle by Rashaan Melvin),3.840,3.840
4,2:06,2,5,NWE 23,24,23,Timeout #1 by New York Giants,3.840,6.060
4,2:06,1,5,NWE 5,24,23,Eli Manning pass incomplete short left intended for Odell Beckham (defended by Malcolm Butler),6.060,5.150
4,2:01,2,5,NWE 5,24,23,Eli Manning pass incomplete short right intended for Dwayne Harris,5.150,4.260
4,1:56,3,5,NWE 5,24,23,Eli Manning sacked by Malcom Brown for -6 yards,4.260,4.260
4,1:50,3,5,NWE 5,24,23,Timeout #3 by New England Patriots,4.260,2.700
4,1:50,4,11,NWE 11,24,26,Josh Brown 29 yard field goal good,2.700,3.000
4,1:50,,,NYG 35,24,26,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
4,1:47,1,10,NWE 20,24,26,Tom Brady pass incomplete deep middle intended for Aaron Dobson (defended by Landon Collins),0.280,0.280
4,1:39,1,10,NWE 20,24,26,Timeout #2 by New York Giants,0.280,-0.270
4,1:39,2,10,NWE 20,24,26,Tom Brady pass incomplete short left intended for Brandon LaFell,-0.270,-0.960
4,1:34,3,10,NWE 20,24,26,Tom Brady pass incomplete deep middle intended for Brandon LaFell,-0.960,-2.030
4,1:28,4,10,NWE 20,24,26,Tom Brady pass complete short middle to Danny Amendola for 12 yards (tackle by Jonathan Casillas),-2.030,1.070
4,1:08,1,10,NWE 32,24,26,Tom Brady pass complete short middle to Rob Gronkowski for 7 yards (tackle by Craig Dahl and Devon Kennard),1.070,1.470
4,0:47,2,3,NWE 39,24,26,Tom Brady pass complete short right to Aaron Dobson for 5 yards (tackle by Dominique Rodgers-Cromartie),1.470,1.860
4,0:42,1,10,NWE 44,24,26,Tom Brady pass incomplete deep right intended for Aaron Dobson,1.860,1.320
4,0:36,2,10,NWE 44,24,26,Tom Brady pass complete short middle to Danny Amendola for 11 yards (tackle by Dominique Rodgers-Cromartie),1.320,2.590
4,0:21,1,10,NYG 45,24,26,Tom Brady pass incomplete short right intended for Aaron Dobson,2.590,2.040
4,0:19,2,10,NYG 45,24,26,Tom Brady pass complete short left to Danny Amendola for 9 yards (tackle by Landon Collins),2.040,2.540
4,0:07,3,1,NYG 36,24,26,Tom Brady spiked the ball,2.540,2.540
4,0:06,3,1,NYG 36,24,26,Timeout #3 by New York Giants,2.540,0.890
4,0:06,4,1,NYG 36,27,26,Stephen Gostkowski 54 yard field goal good,0.890,3.000
4,0:06,,,NWE 35,27,26,--,0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
