Quarter,Time,Tm,Detail,WAS,TAM
1.0,0:10,Redskins,Dustin Hopkins 43 yard field goal,3,0
2.0,2:03,Buccaneers,Chandler Catanzaro 33 yard field goal,3,3
,0:20,Redskins,Dustin Hopkins 43 yard field goal,6,3
4.0,14:07,Redskins,Josh Doctson 6 yard pass from Alex Smith (Dustin Hopkins kick),13,3
,12:03,Redskins,Dustin Hopkins 26 yard field goal,16,3
