Unnamed: 0,WAS,TAM
First Downs,15,29
Rush-Yds-TDs,25-116-0,24-103-0
Cmp-Att-Yd-TD-INT,19-27-178-1-0,29-41-406-0-2
Sacked-Yards,3-8,2-8
Net Pass Yards,170,398
Total Yards,286,501
Fumbles-Lost,0-0,4-2
Turnovers,0,4
Penalties-Yards,8-52,5-50
Third Down Conv.,5-13,6-10
Fourth Down Conv.,0-0,0-0
Time of Possession,28:48,31:12
