Unnamed: 0,TEN,JAX
First Downs,25,20
Rush-Yds-TDs,40-249-2,15-91-0
Cmp-Att-Yd-TD-INT,19-24-212-2-0,31-54-263-1-1
Sacked-Yards,1-7,0-0
Net Pass Yards,205,263
Total Yards,454,354
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,7-78,10-80
Third Down Conv.,3-9,5-14
Fourth Down Conv.,1-2,1-3
Time of Possession,31:43,28:17
