Quarter,Time,Tm,Detail,TAM,NOR
2.0,4:44,Buccaneers,Joey Galloway 30 yard pass from Chris Simms (Todd France kick),7,0
,0:46,Saints,John Carney 26 yard field goal,7,3
4.0,9:37,Buccaneers,Todd France 28 yard field goal,10,3
