Unnamed: 0,TAM,NOR
First Downs,14,16
Rush-Yds-TDs,30-133-0,27-65-0
Cmp-Att-Yd-TD-INT,12-21-123-1-0,18-34-215-0-4
Sacked-Yards,1-8,2-1
Net Pass Yards,115,214
Total Yards,248,279
Fumbles-Lost,0-0,0-0
Turnovers,0,4
Penalties-Yards,5-26,5-35
Third Down Conv.,4-12,9-16
Fourth Down Conv.,0-0,0-1
Time of Possession,28:47,31:13
