Quarter,Time,Tm,Detail,CAR,MIN
1.0,12:53,Panthers,John Kasay 43 yard field goal,3,0
2.0,9:55,Panthers,Jonathan Stewart 2 yard rush (John Kasay kick),10,0
,1:46,Vikings,Ryan Longwell 28 yard field goal,10,3
,1:04,Vikings,Antoine Winfield 19 yard defensive fumble return (Ryan Longwell kick),10,10
3.0,12:53,Vikings,Visanthe Shiancoe 34 yard pass from Gus Frerotte (Ryan Longwell kick),10,17
4.0,9:07,Vikings,Ryan Longwell 32 yard field goal,10,20
