Unnamed: 0,JAX,TEN
First Downs,16,13
Rush-Yds-TDs,30-126-0,32-96-0
Cmp-Att-Yd-TD-INT,15-31-151-0-2,13-26-166-1-1
Sacked-Yards,1-6,2-16
Net Pass Yards,145,150
Total Yards,271,246
Fumbles-Lost,1-0,2-2
Turnovers,2,3
Penalties-Yards,3-15,2-12
Third Down Conv.,2-13,7-15
Fourth Down Conv.,2-3,0-1
Time of Possession,30:28,29:32
