Unnamed: 0,WAS,ARI
First Downs,19,24
Rush-Yds-TDs,18-87-1,24-88-1
Cmp-Att-Yd-TD-INT,21-37-271-1-1,30-46-300-3-0
Sacked-Yards,2-25,2-19
Net Pass Yards,246,281
Total Yards,333,369
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,7-35,6-51
Third Down Conv.,5-11,10-16
Fourth Down Conv.,0-0,1-1
Time of Possession,26:14,33:46
