Quarter,Time,Down,ToGo,Location,WAS,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,David Johnson left end for 10 yards (tackle by Duke Ihenacho),0.610,1.270
1,14:22,1,10,ARI 35,0,0,David Johnson right tackle for 2 yards (tackle by Evander Hood),1.270,0.990
1,13:44,2,8,ARI 37,0,0,Carson Palmer pass complete short left to Larry Fitzgerald for 12 yards (tackle by Evander Hood),0.990,2.190
1,13:03,1,10,ARI 49,0,0,Andre Ellington left end for 2 yards (tackle by Mason Foster),2.190,1.920
1,12:29,2,8,WAS 49,0,0,Carson Palmer pass complete short left to David Johnson for -3 yards (tackle by Duke Ihenacho),1.920,0.830
1,11:48,3,11,ARI 48,0,0,Carson Palmer pass complete short left to David Johnson for 13 yards,0.830,2.980
1,11:18,1,10,WAS 39,0,0,Carson Palmer pass incomplete short right intended for Michael Floyd (defended by Ryan Kerrigan),2.980,2.440
1,11:12,2,10,WAS 39,0,0,"David Johnson middle for 10 yards (tackle by Bashaud Breeland). David Johnson fumbles (forced by Bashaud Breeland), recovered by Mike Iupati at WAS-29",2.440,3.640
1,10:20,1,10,WAS 29,0,0,David Johnson middle for 6 yards (tackle by William Compton),3.640,3.910
1,9:41,2,4,WAS 23,0,0,Carson Palmer pass complete short right to Andre Ellington for 10 yards (tackle by Donte Whitner and Trent Murphy),3.910,4.710
1,8:57,1,10,WAS 13,0,0,Andre Ellington middle for -2 yards (tackle by Ricky Jean-Francois),4.710,3.760
1,8:16,2,12,WAS 15,0,0,Carson Palmer pass incomplete short left intended for Andre Ellington (defended by Ricky Jean-Francois),3.760,3.030
1,8:12,3,12,WAS 15,0,0,Carson Palmer pass complete short middle to Jermaine Gresham for 14 yards (tackle by Bashaud Breeland),3.030,6.970
1,7:31,1,1,WAS 1,0,0,David Johnson middle for no gain (tackle by Ryan Kerrigan),6.970,5.910
1,6:48,2,1,WAS 1,0,6,"David Johnson middle for 1 yard, touchdown",5.910,7.000
1,6:43,,,WAS 15,0,7,Chandler Catanzaro kicks extra point good,0.000,0.000
1,6:43,,,ARI 35,0,7,"Chandler Catanzaro kicks off 67 yards, returned by Chris Thompson for 26 yards (tackle by Justin Bethel)",0.000,-0.540
1,6:37,1,10,WAS 24,0,7,Kirk Cousins pass complete short left to Pierre Garcon for 9 yards (tackle by Marcus Cooper),0.540,1.210
1,6:02,2,1,WAS 33,0,7,"Penalty on Vernon Davis: False Start, 5 yards (no play)",1.210,0.540
1,5:32,2,6,WAS 28,0,7,"Penalty on Shawn Lauvao: False Start, 5 yards (no play)",0.540,-0.140
1,5:15,2,11,WAS 23,0,7,Kirk Cousins pass incomplete short right intended for DeSean Jackson,-0.140,-0.820
1,5:10,3,11,WAS 23,0,7,Kirk Cousins sacked by Kevin Minter for -10 yards,-0.820,-2.490
1,4:34,4,21,WAS 13,0,7,"Tress Way punts 59 yards, returned by Patrick Peterson for 13 yards (tackle by Terence Garvin)",-2.490,-1.660
1,4:23,1,10,ARI 41,0,7,Carson Palmer pass complete short left to Larry Fitzgerald for 3 yards (tackle by Su'a Cravens),1.660,1.530
1,3:44,2,7,ARI 44,0,7,Carson Palmer pass incomplete short left intended for Michael Floyd (defended by Bashaud Breeland),1.530,0.830
