Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
2,14:20,2,8,DAL 23,3,3,Christian Ponder pass incomplete short left intended for Cordarrelle Patterson (defended by Orlando Scandrick),3.630,2.940
2,14:13,3,8,DAL 23,3,3,Christian Ponder pass complete short right to Jarius Wright for 7 yards (tackle by Bruce Carter),2.940,2.530
2,13:38,4,1,DAL 16,3,3,Adrian Peterson right tackle for no gain (tackle by Sean Lee and Nick Hayden),2.530,0.140
2,13:31,1,10,DAL 16,3,3,Tony Romo pass complete short left to Jason Witten for 6 yards (tackle by Michael Mauti and Josh Robinson),-0.140,0.280
2,12:52,2,4,DAL 22,3,3,Tony Romo pass complete short left to Jason Witten for 7 yards (tackle by Josh Robinson),0.280,0.870
2,12:15,1,10,DAL 29,3,3,Tony Romo pass complete short left to DeMarco Murray for 12 yards (tackle by Robert Blanton),0.870,1.660
2,11:32,1,10,DAL 41,3,3,Tony Romo pass complete short middle to DeMarco Murray for 4 yards (tackle by Marcus Sherels and Erin Henderson),1.660,1.660
2,10:52,2,6,DAL 45,3,3,Tony Romo pass complete short right to Dez Bryant for 5 yards (tackle by Chad Greenway),1.660,1.620
2,10:01,3,1,MIN 50,3,3,DeMarco Murray right tackle for 6 yards (tackle by Xavier Rhodes),1.620,2.650
2,9:25,1,10,MIN 44,3,3,Tony Romo pass complete short right to James Hanna for 21 yards (tackle by Xavier Rhodes),2.650,4.040
2,8:42,1,10,MIN 23,3,3,Tony Romo pass complete short left to Cole Beasley for 11 yards (tackle by Robert Blanton),4.040,4.780
2,8:02,1,10,MIN 12,3,3,Tony Romo pass incomplete short left intended for Cole Beasley,4.780,4.100
2,7:56,2,10,MIN 12,3,3,Tony Romo sacked by Brian Robison for -9 yards,4.100,2.350
2,7:15,3,19,MIN 21,3,3,Tony Romo sacked by Brian Robison for -5 yards,2.350,1.740
2,6:41,4,24,MIN 26,3,6,Dan Bailey 44 yard field goal good,1.740,3.000
2,6:41,,,DAL 35,3,6,"Dan Bailey kicks off 73 yards, returned by Cordarrelle Patterson for 29 yards (tackle by Dwayne Harris)",0.000,-0.340
2,6:30,1,10,MIN 21,3,6,Adrian Peterson left end for 10 yards (tackle by Barry Church and Justin Durant),0.340,1.000
2,5:50,1,10,MIN 31,3,6,Christian Ponder pass complete short middle to Toby Gerhart for 6 yards (tackle by Nick Hayden),1.000,1.270
2,5:26,2,4,MIN 37,3,6,Adrian Peterson right end for 13 yards (tackle by Barry Church),1.270,2.260
2,4:52,1,10,DAL 50,3,6,Christian Ponder pass complete short right to Jarius Wright for 11 yards (tackle by Brandon Carr),2.260,2.980
2,4:11,1,10,DAL 39,3,6,Adrian Peterson left guard for no gain (tackle by Drake Nevis and Ernie Sims),2.980,2.440
2,3:35,2,10,DAL 39,3,6,Christian Ponder pass complete short middle to Adrian Peterson for 19 yards (tackle by Caesar Rayford),2.440,4.240
2,3:35,1,10,DAL 20,3,6,Adrian Peterson up the middle for 5 yards (tackle by Justin Durant),4.240,4.450
2,2:17,2,5,DAL 15,3,6,Christian Ponder pass complete short right to Greg Jennings for 7 yards (tackle by B.W. Webb),4.450,5.370
2,2:00,1,8,DAL 8,3,6,Adrian Peterson up the middle for 2 yards (tackle by Jason Hatcher),5.370,5.370
2,1:55,1,8,DAL 8,3,6,Timeout #1 by Dallas Cowboys,5.370,4.950
2,1:55,2,6,DAL 6,3,6,Christian Ponder pass incomplete,4.950,4.040
2,1:47,3,6,DAL 6,9,6,"Christian Ponder up the middle for 6 yards, touchdown",4.040,7.000
2,1:47,,,DAL 2,10,6,Blair Walsh kicks extra point good,0.000,0.000
2,1:47,,,MIN 35,10,6,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,1:41,1,10,DAL 20,10,6,Tony Romo pass complete short left to DeMarco Murray for -7 yards (tackle by Kevin Williams),0.280,-1.280
2,1:17,2,17,DAL 13,10,6,Tony Romo pass incomplete short left intended for Cole Beasley,-1.280,-2.190
2,1:12,3,17,DAL 13,10,6,Tony Romo pass complete deep middle to Terrance Williams for 29 yards (tackle by Andrew Sendejo),-2.190,-2.190
2,0:59,3,17,DAL 13,10,6,Timeout #2 by Dallas Cowboys,-2.190,1.730
2,0:59,1,10,DAL 42,10,6,Tony Romo pass complete short right to DeMarco Murray for 4 yards (tackle by Marcus Sherels),1.730,1.730
2,0:52,2,6,DAL 46,10,6,Tony Romo pass incomplete short right intended for Jason Witten,1.730,1.030
2,0:48,3,6,DAL 46,10,6,Tony Romo sacked by Everson Griffen for -9 yards,1.030,1.030
2,0:39,3,6,DAL 46,10,6,Timeout #1 by Minnesota Vikings,1.030,-0.910
2,0:39,4,15,DAL 37,10,6,"Chris Jones punts 51 yards, returned by Marcus Sherels for 9 yards (tackle by Kyle Bosworth)",-0.910,-0.340
2,0:26,1,10,MIN 21,10,6,Christian Ponder pass complete short left to Cordarrelle Patterson for 3 yards (tackle by Kyle Wilber),0.340,0.210
Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,10,6,"Blair Walsh kicks off 68 yards, returned by Dwayne Harris for 29 yards (tackle by Michael Mauti)",0.000,-0.670
3,14:54,1,10,DAL 26,10,6,Tony Romo pass complete short right to Dez Bryant for 5 yards (tackle by Xavier Rhodes),0.670,0.810
3,14:17,2,5,DAL 31,10,6,Lance Dunbar left tackle for 2 yards (tackle by Jared Allen),0.810,0.370
3,13:37,3,3,DAL 33,10,6,Tony Romo pass complete short middle to Cole Beasley for 11 yards (tackle by Marcus Sherels),0.370,1.860
3,12:57,1,10,DAL 44,10,6,Tony Romo pass complete short right to Terrance Williams for 4 yards (tackle by Marcus Sherels),1.860,1.860
3,12:23,2,6,DAL 48,10,6,Tony Romo pass complete short left to Jason Witten for 26 yards (tackle by Robert Blanton),1.860,3.840
3,11:43,1,10,MIN 26,10,12,"Tony Romo pass complete deep middle to Jason Witten for 26 yards, touchdown",3.840,7.000
3,11:43,,,MIN 2,10,13,Dan Bailey kicks extra point good,0.000,0.000
3,11:43,,,DAL 35,10,13,"Dan Bailey kicks off 62 yards, muffed catch by Cordarrelle Patterson, ball out of bounds at MIN-5",0.000,0.380
3,11:36,1,10,MIN 5,10,19,"Christian Ponder sacked by George Selvie for -5 yards. Christian Ponder fumbles (forced by George Selvie), recovered by Nick Hayden at MIN--3, touchdown",-0.380,-7.000
3,11:28,,,MIN 2,10,20,Dan Bailey kicks extra point good,0.000,0.000
3,11:28,,,DAL 35,10,20,Dan Bailey kicks off 41 yards (tackle by Dwayne Harris),0.000,-0.480
3,11:25,1,10,MIN 23,10,20,Christian Ponder pass complete short left to Kyle Rudolph for 4 yards (tackle by Orlando Scandrick),0.480,0.470
3,11:00,2,6,MIN 27,10,20,Adrian Peterson left tackle for 2 yards (tackle by Jarius Wynn),0.470,0.040
3,10:19,3,4,MIN 29,10,20,Christian Ponder pass complete short right to Greg Jennings for 27 yards (tackle by Barry Church),0.040,2.650
3,9:37,1,10,DAL 44,10,20,Christian Ponder pass complete short right to Adrian Peterson for 12 yards (tackle by George Selvie),2.650,3.450
3,9:01,1,10,DAL 32,10,20,Adrian Peterson right guard for 1 yard (tackle by Sean Lee),3.450,3.040
3,8:22,2,9,DAL 31,16,20,"Christian Ponder pass complete deep middle to Kyle Rudolph for 31 yards, touchdown",3.040,7.000
3,8:22,,,DAL 2,17,20,Blair Walsh kicks extra point good,0.000,0.000
3,8:22,,,MIN 35,17,20,"Blair Walsh kicks off 74 yards, touchback",0.000,-0.280
3,8:11,1,10,DAL 20,17,20,"Penalty on Tony Romo: Delay of Game, 5 yards (no play)",0.280,-0.310
3,8:11,1,15,DAL 15,17,20,Tony Romo pass complete short middle to Jason Witten for 14 yards (tackle by Mistral Raymond),-0.310,0.950
3,8:11,2,1,DAL 29,17,20,Tony Romo pass incomplete short right intended for Cole Beasley,0.950,0.230
3,8:11,3,1,DAL 29,17,20,DeMarco Murray right guard for no gain (tackle by Josh Robinson),0.230,-1.440
3,6:36,4,1,DAL 29,17,20,"Chris Jones punts 53 yards, fair catch by Marcus Sherels",-1.440,-0.040
3,6:27,1,10,MIN 18,17,20,Adrian Peterson left tackle for -1 yards (tackle by Sean Lee and Bruce Carter),0.040,-0.650
3,5:55,2,11,MIN 17,17,20,Christian Ponder pass complete short right to John Carlson for 3 yards (tackle by Brandon Carr),-0.650,-0.910
3,5:09,3,8,MIN 20,17,20,Christian Ponder pass complete short right to John Carlson for 2 yards (tackle by Bruce Carter),-0.910,-1.900
3,4:37,4,6,MIN 22,17,20,"Jeff Locke punts 48 yards, returned by Dwayne Harris for 5 yards (tackle by Andrew Sendejo)",-1.900,-1.270
3,4:26,1,10,DAL 35,17,20,Tony Romo pass incomplete deep right intended for Terrance Williams (defended by Mistral Raymond),1.270,0.720
3,4:17,2,10,DAL 35,17,20,Tony Romo pass complete short left to Lance Dunbar for 8 yards (tackle by Chad Greenway),0.720,1.090
3,3:37,3,2,DAL 43,17,20,"Tony Romo pass complete short right to Lance Dunbar for 1 yard (tackle by Marcus Sherels). Penalty on Erin Henderson: Unnecessary Roughness, 15 yards",1.090,2.850
3,3:07,1,10,MIN 41,17,20,Tony Romo pass incomplete short middle intended for Dez Bryant,2.850,2.310
3,2:59,2,10,MIN 41,17,20,Tony Romo pass complete short middle to Dez Bryant for 4 yards (tackle by Xavier Rhodes),2.310,2.150
3,2:13,3,6,MIN 37,17,20,Tony Romo up the middle for 8 yards (tackle by Marcus Sherels),2.150,3.640
3,1:24,1,10,MIN 29,17,20,Tony Romo pass incomplete deep right intended for Dez Bryant,3.640,3.100
3,1:16,2,10,MIN 29,17,20,Lance Dunbar up the middle for -5 yards (tackle by Erin Henderson),3.100,1.750
3,0:32,3,15,MIN 34,17,20,"Tony Romo pass incomplete short left intended for Dez Bryant. Penalty on Dez Bryant: Unsportsmanlike Conduct, 15 yards, Penalty on Dez Bryant: Offensive Pass Interference (Declined)",1.750,0.000
3,0:23,4,30,MIN 49,17,20,"Chris Jones punts 39 yards, fair catch by Marcus Sherels",0.000,0.380
3,0:18,1,10,MIN 10,17,20,Adrian Peterson up the middle for -2 yards (tackle by Jason Hatcher),-0.380,-0.930
Quarter,Time,Down,ToGo,Location,MIN,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,12,MIN 8,17,20,Adrian Peterson right end for 16 yards (tackle by Jeff Heath),-0.930,0.540
4,14:21,1,10,MIN 24,17,20,Christian Ponder pass complete short right to Cordarrelle Patterson for 5 yards (tackle by Bruce Carter),0.540,0.670
4,13:51,2,5,MIN 29,17,20,Adrian Peterson up the middle for 1 yard (tackle by Sean Lee and Jason Hatcher),0.670,0.100
4,13:23,3,4,MIN 30,17,20,Christian Ponder pass incomplete deep left intended for Greg Jennings is intercepted by Orlando Scandrick at DAL-47,0.100,-2.060
4,13:08,1,10,DAL 47,17,20,Tony Romo pass complete short right to Jason Witten for 7 yards (tackle by Chad Greenway),2.060,2.460
4,12:50,2,3,MIN 46,17,20,Tony Romo pass complete short middle to Lance Dunbar for 8 yards (tackle by Chad Greenway),2.460,3.050
4,11:59,1,10,MIN 38,17,20,"Tony Romo pass complete short right to Jason Witten for 10 yards (tackle by Erin Henderson). Penalty on Jason Witten: Offensive Pass Interference, 10 yards (no play)",3.050,2.390
4,11:28,1,20,MIN 48,17,20,Tony Romo pass complete short middle to DeMarco Murray for 2 yards (tackle by Everson Griffen),2.390,1.430
4,10:57,2,18,MIN 46,17,20,Tony Romo pass incomplete deep middle intended for Dez Bryant,1.430,0.760
4,10:49,3,18,MIN 46,17,20,Tony Romo pass incomplete deep right intended for Terrance Williams. Penalty on Doug Free: Face Mask (15 Yards) (Declined),0.760,0.200
4,10:41,4,18,MIN 46,17,20,"Chris Jones punts 33 yards, fair catch by Marcus Sherels",0.200,0.320
4,10:32,1,10,MIN 13,17,20,Christian Ponder pass incomplete deep middle intended for Greg Jennings (defended by Orlando Scandrick),-0.320,-0.770
4,10:25,2,10,MIN 13,17,20,"Christian Ponder pass complete short left to Greg Jennings for 5 yards (tackle by Orlando Scandrick). Penalty on Orlando Scandrick: Defensive Holding, 5 yards (no play)",-0.770,0.040
4,10:10,1,10,MIN 18,17,20,Adrian Peterson right tackle for -1 yards (tackle by Barry Church),0.040,-0.650
4,9:31,2,11,MIN 17,17,20,Christian Ponder pass complete short left to Jerome Felton for 11 yards (tackle by Justin Durant),-0.650,0.810
4,8:41,1,10,MIN 28,17,20,Adrian Peterson right end for 52 yards (tackle by Orlando Scandrick),0.810,0.810
4,7:51,1,10,MIN 28,17,20,Timeout #1 by Dallas Cowboys,0.810,4.240
4,7:51,1,10,DAL 20,17,20,Adrian Peterson up the middle for no gain (tackle by Bruce Carter and Sean Lee),4.240,3.690
4,7:16,2,10,DAL 20,17,20,Christian Ponder pass complete short right to Greg Jennings for 6 yards (tackle by Brandon Carr),3.690,3.890
4,6:35,3,4,DAL 14,17,20,Christian Ponder up the middle for 3 yards (tackle by Nick Hayden),3.890,2.850
4,5:49,4,1,DAL 11,23,20,"Adrian Peterson right tackle for 11 yards, touchdown",2.850,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,5:49,,,DAL 2,23,20,Blair Walsh kicks extra point no good,0.000,-1.000
4,5:49,,,MIN 35,23,20,"Blair Walsh kicks off 70 yards, returned by Dwayne Harris for 31 yards (tackle by Gerald Hodges)",0.000,-0.670
4,5:32,1,10,DAL 26,23,20,Tony Romo pass complete short right to DeMarco Murray for 4 yards (tackle by Xavier Rhodes),0.670,0.670
4,5:09,2,6,DAL 30,23,20,"Tony Romo pass complete short left to Jason Witten for 14 yards (tackle by Marcus Sherels). Penalty on Mackenzy Bernadeau: Illegal Use of Hands, 10 yards (no play)",0.670,-0.680
4,4:40,2,16,DAL 20,23,20,Tony Romo pass complete short right to Cole Beasley for 7 yards,-0.680,-0.430
4,4:35,3,9,DAL 27,23,20,Tony Romo pass incomplete short right intended for Terrance Williams is intercepted by A.J. Jefferson at DAL-42 and returned for 1 yard (tackle by Terrance Williams),-0.430,-2.850
4,4:29,1,10,DAL 41,23,20,Christian Ponder pass incomplete deep left intended for Greg Jennings,2.850,2.310
4,4:21,2,10,DAL 41,23,20,Adrian Peterson left tackle for 1 yard (tackle by Bruce Carter),2.310,1.750
4,3:41,3,9,DAL 40,23,20,Christian Ponder left end for 4 yards (tackle by Orlando Scandrick),1.750,0.880
4,3:41,4,5,DAL 36,23,20,"Penalty on Christian Ponder: Delay of Game, 5 yards (no play)",0.880,0.530
4,2:51,4,10,DAL 41,23,20,"Jeff Locke punts 31 yards, fair catch by Dwayne Harris",0.530,0.380
4,2:44,1,10,DAL 10,23,20,Tony Romo pass complete short right to Jason Witten for 11 yards (tackle by Mistral Raymond),-0.380,0.340
4,2:18,1,10,DAL 21,23,20,Tony Romo pass complete short left to Dwayne Harris for 6 yards (tackle by Erin Henderson),0.340,0.610
4,2:00,2,4,DAL 27,23,20,Tony Romo pass complete short left to Cole Beasley for 18 yards (tackle by Andrew Sendejo),0.610,1.930
4,1:35,1,10,DAL 45,23,20,Tony Romo pass incomplete short right intended for Terrance Williams,1.930,1.380
4,1:30,2,10,DAL 45,23,20,Tony Romo pass complete short middle to Dez Bryant for 34 yards (tackle by Marcus Sherels),1.380,4.170
4,1:00,1,10,MIN 21,23,20,Tony Romo pass complete short right to Cole Beasley for 9 yards,4.170,5.160
4,0:55,2,1,MIN 12,23,20,Tony Romo pass complete short left to Jason Witten for 5 yards (tackle by Erin Henderson),5.160,5.160
4,0:47,2,1,MIN 12,23,20,Timeout #2 by Dallas Cowboys,5.160,5.600
4,0:47,1,7,MIN 7,23,20,Tony Romo pass incomplete,5.600,4.760
4,0:42,2,7,MIN 7,23,26,"Tony Romo pass complete short middle to Dwayne Harris for 7 yards, touchdown",4.760,7.000
4,0:42,,,MIN 2,23,27,Dan Bailey kicks extra point good,0.000,0.000
4,0:42,,,DAL 35,23,27,"Dan Bailey kicks off 43 yards, returned by Toby Gerhart for 20 yards (tackle by B.W. Webb)",0.000,-1.730
4,0:29,1,10,MIN 42,23,27,Christian Ponder pass incomplete short right intended for John Carlson (defended by B.W. Webb),1.730,1.190
4,0:22,2,10,MIN 42,23,27,"Christian Ponder sacked by Everette Brown for -7 yards. Christian Ponder fumbles (forced by Everette Brown), recovered by Christian Ponder at MIN-35",1.190,1.190
4,0:15,2,10,MIN 42,23,27,Timeout #1 by Minnesota Vikings,1.190,-0.430
4,0:15,3,17,MIN 35,23,27,Christian Ponder pass complete short right to John Carlson for 12 yards (tackle by Brandon Carr),-0.430,-0.430
4,0:10,3,17,MIN 35,23,27,Timeout #2 by Minnesota Vikings,-0.430,-0.260
4,0:10,4,5,MIN 47,23,27,Christian Ponder pass complete short right to John Carlson for 6 yards (tackle by Brandon Carr),-0.260,-0.260
4,0:04,4,5,MIN 47,23,27,Timeout #3 by Minnesota Vikings,-0.260,2.460
4,0:04,1,10,DAL 47,23,27,Christian Ponder pass incomplete deep right intended for Jarius Wright,2.460,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
