Unnamed: 0,CLE,CIN
First Downs,17,27
Rush-Yds-TDs,20-57-2,32-160-2
Cmp-Att-Yd-TD-INT,20-33-244-0-2,24-40-352-2-2
Sacked-Yards,0-0,4-31
Net Pass Yards,244,321
Total Yards,301,481
Fumbles-Lost,1-1,0-0
Turnovers,3,2
Penalties-Yards,2-27,9-49
Third Down Conv.,2-10,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:55,34:05
