Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 64 yards, returned by Tab Perry for 19 yards (tackle by Josh Cribbs)",0.000,0.610
1,14:55,1,10,CIN 25,0,0,Carson Palmer pass complete deep left to Reggie Kelly for 18 yards (tackle by Sean Jones),0.610,1.800
1,14:14,1,10,CIN 43,0,0,Carson Palmer pass complete short right to Reggie Kelly for 17 yards (tackle by Gary Baxter),1.800,2.920
1,13:46,1,10,CLE 40,0,0,Rudi Johnson right guard for 7 yards (tackle by Alvin McKinley),2.920,3.320
1,13:07,2,3,CLE 33,0,0,Rudi Johnson left guard for 11 yards (tackle by Sean Jones),3.320,4.110
1,12:33,1,10,CLE 22,0,6,"Carson Palmer pass complete short middle to Kelley Washington for 22 yards, touchdown",4.110,7.000
1,,,,CLE 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Shayne Graham kicks off 50 yards, returned by Steve Heiden for 11 yards (tackle by Tab Perry)",0.000,1.000
1,12:21,1,10,CLE 31,0,7,Reuben Droughns right tackle for -2 yards (tackle by John Thornton),1.000,0.190
1,11:47,2,12,CLE 29,0,7,Reuben Droughns left tackle for 10 yards (tackle by Landon Johnson and David Pollack),0.190,0.830
1,11:20,3,2,CLE 39,0,7,Reuben Droughns right tackle for 1 yard (tackle by Bryan Robinson),0.830,-0.720
1,10:37,4,1,CLE 40,0,7,"Dave Zastudil punts 53 yards, returned by Keiwan Ratliff for 8 yards (tackle by Mason Unck)",-0.720,0.220
1,10:23,1,10,CIN 15,0,7,Carson Palmer pass incomplete short right intended for Reggie Kelly is intercepted by Andra Davis at CIN-17,-0.220,-4.440
1,10:14,1,10,CIN 17,0,7,Reuben Droughns right end for 2 yards (tackle by Brian Simmons and Justin Smith),4.440,4.150
1,9:40,2,8,CIN 15,0,7,Reuben Droughns right guard for 2 yards (tackle by Bryan Robinson),4.150,3.680
1,9:02,3,6,CIN 13,0,7,Charlie Frye pass incomplete short right intended for Dennis Northcutt,3.680,2.590
1,8:54,4,6,CIN 13,3,7,Phil Dawson 30 yard field goal good,2.590,3.000
1,,,,CLE 30,3,7,"Phil Dawson kicks off 73 yards, returned by Kenny Watson for 19 yards (tackle by Daven Holly). Penalty on Caleb Miller: Offensive Holding, 8 yards",0.000,-0.380
1,8:45,1,10,CIN 8,3,7,"Penalty on Eric Steinbach: False Start, 4 yards (no play)",-0.380,-0.530
1,8:45,1,14,CIN 4,3,7,Rudi Johnson left tackle for 4 yards (tackle by Ted Washington),-0.530,-0.780
1,8:22,2,10,CIN 8,3,7,Rudi Johnson left end for 9 yards (tackle by Chaun Thompson and Sean Jones),-0.780,-0.370
1,7:59,3,1,CIN 17,3,7,Carson Palmer middle for 2 yards (tackle by Orpheus Roye),-0.370,0.150
1,7:18,1,10,CIN 19,3,7,Rudi Johnson right end for 6 yards (tackle by Chaun Thompson),0.150,0.480
1,6:46,2,4,CIN 25,3,7,Carson Palmer pass incomplete short left intended for Chad Johnson,0.480,-0.290
1,6:41,3,4,CIN 25,3,7,Carson Palmer pass complete short left to Kelley Washington for 10 yards (tackle by Gary Baxter),-0.290,1.270
1,5:55,1,10,CIN 35,3,7,Rudi Johnson left end for 6 yards (tackle by Brian Russell),1.270,1.530
1,5:25,2,4,CIN 41,3,7,Carson Palmer pass incomplete short left intended for Kelley Washington,1.530,0.830
1,5:19,3,4,CIN 41,3,7,Carson Palmer pass complete deep left to Tab Perry for 26 yards (tackle by Brian Russell),0.830,3.380
1,5:05,1,10,CLE 33,3,7,Rudi Johnson left end for 2 yards (tackle by Sean Jones and Orpheus Roye),3.380,3.110
1,4:36,2,8,CLE 31,3,7,Carson Palmer pass complete short middle to Chad Johnson for 18 yards (tackle by Sean Jones),3.110,4.710
1,3:56,1,10,CLE 13,3,7,Carson Palmer pass complete short right to Rudi Johnson for 5 yards,4.710,4.960
1,3:25,2,5,CLE 8,3,7,Carson Palmer pass incomplete short left intended for Tab Perry,4.960,4.100
1,3:18,3,5,CLE 8,3,13,"Carson Palmer pass complete short left to Chad Johnson for 8 yards, touchdown",4.100,7.000
1,,,,CLE 2,3,14,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,3,14,"Shayne Graham kicks off 69 yards, returned by Josh Cribbs for 26 yards (tackle by Rashad Jeanty)",0.000,0.740
1,3:04,1,10,CLE 27,3,14,Charlie Frye pass complete short left to Dennis Northcutt for 7 yards (tackle by Justin Smith),0.740,1.140
1,2:26,2,3,CLE 34,3,14,Charlie Frye pass complete short right to Reuben Droughns for 24 yards (tackle by John Thornton),1.140,2.790
1,1:43,1,10,CIN 42,3,14,Reuben Droughns left tackle for 2 yards (tackle by Sam Adams),2.790,2.510
1,1:02,2,8,CIN 40,3,14,Charlie Frye pass incomplete short right intended for Steve Heiden,2.510,1.820
1,0:57,3,8,CIN 40,3,14,Reuben Droughns left guard for 2 yards (tackle by Brian Simmons and Bryan Robinson),1.820,0.720
1,0:12,4,6,CIN 38,3,14,Phil Dawson punts 31 yards,0.720,0.380
1,0:03,1,10,CIN 7,3,14,Rudi Johnson right guard for 4 yards (tackle by Ted Washington),-0.380,-0.490
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CIN 11,3,14,Carson Palmer pass complete short right to Rudi Johnson for -2 yards (tackle by Brodney Pool),-0.490,-1.190
2,14:18,3,8,CIN 9,3,14,Carson Palmer pass complete deep middle to Chris Henry for 17 yards (tackle by Sean Jones),-1.190,0.670
2,13:38,1,10,CIN 26,3,14,Carson Palmer pass incomplete deep right intended for Chris Henry (defended by Gary Baxter),0.670,0.130
2,13:31,2,10,CIN 26,3,14,"Penalty on Carson Palmer: False Start, 5 yards (no play)",0.130,-0.550
2,13:31,2,15,CIN 21,3,14,Rudi Johnson middle for 2 yards (tackle by Brian Russell and Sean Jones),-0.550,-0.960
2,13:06,3,13,CIN 23,3,14,Carson Palmer pass complete to Kelley Washington for 9 yards (tackle by Ralph Brown),-0.960,-1.240
2,12:29,4,4,CIN 32,3,14,"Kyle Larson punts 53 yards, returned by Dennis Northcutt for 9 yards (tackle by Tony Stewart)",-1.240,-0.540
2,12:18,1,10,CLE 24,3,14,Charlie Frye pass incomplete short left intended for Braylon Edwards,0.540,0.000
2,12:14,2,10,CLE 24,3,14,Charlie Frye pass complete short right to Dennis Northcutt for 7 yards (tackle by Rashad Jeanty),0.000,0.230
