Unnamed: 0,KAN,STL
First Downs,21,14
Rush-Yds-TDs,42-210-2,21-69-1
Cmp-Att-Yd-TD-INT,15-29-184-1-1,21-43-181-0-2
Sacked-Yards,3-11,3-26
Net Pass Yards,173,155
Total Yards,383,224
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,5-40,9-60
Third Down Conv.,5-17,6-17
Fourth Down Conv.,1-2,0-1
Time of Possession,31:44,28:16
