Unnamed: 0,LAC,IND
First Downs,17,10
Rush-Yds-TDs,32-101-2,14-69-0
Cmp-Att-Yd-TD-INT,24-31-235-0-1,17-29-143-0-3
Sacked-Yards,4-22,7-39
Net Pass Yards,213,104
Total Yards,314,173
Fumbles-Lost,2-1,0-0
Turnovers,2,3
Penalties-Yards,6-60,2-11
Third Down Conv.,8-18,0-10
Fourth Down Conv.,1-1,1-4
Time of Possession,33:54,26:06
