Quarter,Time,Tm,Detail,LAC,IND
2.0,8:41,Chargers,Austin Ekeler 1 yard rush (Cameron Dicker kick),7,0
,4:21,Colts,Chase McLaughlin 46 yard field goal,7,3
,0:00,Chargers,Cameron Dicker 24 yard field goal,10,3
3.0,6:01,Chargers,Cameron Dicker 21 yard field goal,13,3
4.0,8:20,Chargers,Austin Ekeler 1 yard rush (Cameron Dicker kick),20,3
