Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
2,13:45,1,10,IND 44,0,0,Justin Herbert sacked by Dayo Odeyingbo for -11 yards,2.650,0.630
2,13:04,2,21,LAC 45,0,0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Julian Blackmon),0.630,1.030
2,12:28,3,13,IND 47,0,0,Justin Herbert pass complete short left to Mike Williams for 16 yards (tackle by Brandon Facyson),1.030,3.510
2,11:46,1,10,IND 31,0,0,Joshua Kelley right guard for 1 yard (tackle by Julian Blackmon),3.510,3.100
2,11:14,2,9,IND 30,0,0,Justin Herbert pass complete short right to Mike Williams for 18 yards (tackle by Rodney Thomas),3.100,4.780
2,10:35,1,10,IND 12,0,0,Austin Ekeler left guard for 7 yards (tackle by Rodney McLeod),4.780,5.410
2,10:02,2,3,IND 5,0,0,Austin Ekeler left guard for 2 yards (tackle by Stephon Gilmore and Rodney McLeod),5.410,5.060
2,9:26,3,1,IND 3,0,0,Justin Herbert up the middle for 2 yards (tackle by Rodney McLeod and Bobby Okereke),5.060,6.970
2,8:44,1,1,IND 1,6,0,"Austin Ekeler up the middle for 1 yard, touchdown",6.970,7.000
2,8:41,,,IND 15,7,0,Cameron Dicker kicks extra point good,0.000,0.000
2,8:41,,,LAC 35,7,0,"Cameron Dicker kicks off 74 yards, returned by Dallis Flowers for 22 yards (tackle by Raheem Layne)",0.000,-0.320
2,8:38,1,10,IND 13,7,0,"Zack Moss for no gain. Penalty on Mo Alie-Cox: Offensive Holding, 6 yards (accepted) (no play)",-0.320,-0.610
2,8:17,1,16,IND 7,7,0,Nick Foles pass complete short middle to Alec Pierce for 15 yards (tackle by Derwin James and Drue Tranquill),-0.610,0.490
2,7:42,2,1,IND 22,7,0,Zack Moss up the middle for 7 yards (tackle by Morgan Fox and Nasir Adderley),0.490,0.870
2,6:47,1,10,IND 29,7,0,"Penalty on Parris Campbell: False Start, 5 yards (accepted) (no play)",0.870,0.540
2,6:27,1,15,IND 24,7,0,"Nick Foles pass complete short right to Michael Pittman for 7 yards (tackle by Derwin James and Drue Tranquill). Penalty on Derwin James: Face Mask (15 Yards), 15 yards (accepted)",0.540,1.990
2,6:04,1,10,IND 46,7,0,Zack Moss right guard for 8 yards (tackle by Michael Davis),1.990,2.530
2,5:26,2,2,LAC 46,7,0,"Nick Foles pass incomplete intended for Ashton Dulin. Penalty on Derwin James: Disqualification / Defense, 15 yards (accepted) (no play)",2.530,3.510
2,5:19,1,10,LAC 31,7,0,Nick Foles pass incomplete deep left intended for Michael Pittman,3.510,2.970
2,5:13,2,10,LAC 31,7,0,Jordan Wilkins right tackle for 4 yards (tackle by Kenneth Murray),2.970,2.810
2,4:35,3,6,LAC 27,7,0,Nick Foles pass incomplete short right,2.810,1.700
2,4:26,4,6,LAC 27,7,3,Chase McLaughlin 46 yard field goal good,1.700,3.000
2,4:21,,,IND 35,7,3,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
2,4:21,1,10,LAC 25,7,3,"Penalty on Zion Johnson: False Start, 5 yards (accepted) (no play)",0.610,0.280
2,4:21,1,15,LAC 20,7,3,Justin Herbert pass complete short right to Josh Palmer for 8 yards,0.280,0.470
2,4:07,2,7,LAC 28,7,3,Justin Herbert pass complete short middle to Austin Ekeler for 2 yards (tackle by Zaire Franklin),0.470,0.040
2,3:33,3,5,LAC 30,7,3,Justin Herbert pass complete short middle to Keenan Allen for 13 yards (tackle by Rodney Thomas),0.040,1.800
2,2:59,1,10,LAC 43,7,3,Austin Ekeler right tackle for 5 yards (tackle by E.J. Speed and Grover Stewart),1.800,1.930
2,2:17,2,5,LAC 48,7,3,Justin Herbert pass complete short middle to Austin Ekeler for 4 yards (tackle by DeForest Buckner and Rodney McLeod),1.930,1.750
2,2:00,3,1,IND 48,7,3,Justin Herbert pass complete deep left to Keenan Allen for 25 yards,1.750,4.040
2,1:53,1,10,IND 23,7,3,Joshua Kelley up the middle for 8 yards (tackle by Bobby Okereke),4.040,4.750
2,1:17,2,2,IND 15,7,3,Joshua Kelley right end for no gain (tackle by Julian Blackmon and Zaire Franklin),4.750,4.050
2,1:08,,,,,,Timeout #1 by Indianapolis Colts,,
2,1:08,3,2,IND 15,7,3,Austin Ekeler left guard for 6 yards (tackle by Zaire Franklin and Julian Blackmon),4.050,5.140
2,1:00,,,,,,Timeout #2 by Indianapolis Colts,,
2,1:00,1,9,IND 9,7,3,Austin Ekeler left tackle for -1 yards (tackle by Yannick Ngakoue and Dallis Flowers),5.140,4.190
2,0:55,,,,,,Timeout #3 by Indianapolis Colts,,
2,0:55,2,10,IND 10,7,3,Justin Herbert pass incomplete short right intended for Keenan Allen (defended by Rodney Thomas),4.190,3.130
2,0:47,3,10,IND 10,7,3,Justin Herbert pass complete short left to Austin Ekeler for 4 yards (tackle by DeForest Buckner and Rodney McLeod),3.130,2.990
2,0:03,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:03,4,6,IND 6,10,3,Cameron Dicker 24 yard field goal good,2.990,3.000
Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,10,3,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,10,3,Austin Ekeler right tackle for 1 yard (tackle by Rodney Thomas and Julian Blackmon),0.610,0.200
3,14:21,2,9,LAC 26,10,3,Justin Herbert pass complete short middle to Keenan Allen for 13 yards (tackle by Rodney McLeod),0.200,1.530
3,13:43,1,10,LAC 39,10,3,"Justin Herbert pass complete to Donald Parham for no gain. Penalty on Trey Pipkins: Offensive Holding, 10 yards (accepted) (no play)",1.530,0.870
3,13:10,1,20,LAC 29,10,3,Justin Herbert pass incomplete deep right intended for Josh Palmer,0.870,-0.360
3,13:04,2,20,LAC 29,10,3,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Julian Blackmon),-0.360,-0.230
3,12:26,3,14,LAC 35,10,3,Justin Herbert pass complete short right to Tre' McKitty for 10 yards (tackle by Bobby Okereke and Zaire Franklin),-0.230,-0.390
3,11:47,4,4,LAC 45,10,3,"JK Scott punts 33 yards, fair catch by Dallis Flowers at IND-22",-0.390,-0.410
3,11:38,1,10,IND 22,10,3,Nick Foles sacked by Morgan Fox for -5 yards,0.410,-0.940
3,11:03,2,15,IND 17,10,3,Zack Moss left tackle for 8 yards (tackle by Michael Davis and Bryce Callahan),-0.940,-0.430
3,10:19,3,7,IND 25,10,3,Nick Foles pass short right intended for Parris Campbell is intercepted by Asante Samuel at IND-37 and returned for 11 yards (tackle by Michael Pittman),-0.430,-3.840
3,10:03,1,10,IND 26,10,3,Justin Herbert sacked by Zaire Franklin for -2 yards,3.840,3.030
3,9:24,2,12,IND 28,10,3,Justin Herbert pass complete short left to Austin Ekeler for 2 yards (tackle by Bobby Okereke),3.030,2.610
3,8:45,3,10,IND 26,10,3,Justin Herbert pass complete short right to Joshua Kelley for 9 yards (tackle by Stephon Gilmore),2.610,2.460
3,8:14,4,1,IND 17,10,3,Justin Herbert pass complete short middle to Keenan Allen for 7 yards (tackle by Brandon Facyson),2.460,4.910
3,7:37,1,10,IND 10,10,3,Austin Ekeler left guard for 5 yards (tackle by Rodney Thomas),4.910,5.150
3,6:58,2,5,IND 5,10,3,Austin Ekeler right tackle for 2 yards (tackle by Zaire Franklin),5.150,4.720
3,6:17,3,3,IND 3,10,3,Justin Herbert pass incomplete short middle,4.720,3.040
3,6:05,4,3,IND 3,13,3,Cameron Dicker 21 yard field goal good,3.040,3.000
3,6:01,,,LAC 35,13,3,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,6:01,1,10,IND 25,13,3,Zack Moss left tackle for 2 yards (tackle by Kenneth Murray and Drue Tranquill),0.610,0.330
3,5:25,2,8,IND 27,13,3,Zack Moss up the middle for 14 yards (tackle by Alohi Gilman and Michael Davis),0.330,1.660
3,4:43,1,10,IND 41,13,3,Zack Moss right tackle for 2 yards (tackle by Morgan Fox and Sebastian Joseph-Day),1.660,1.390
3,3:49,2,8,IND 43,13,3,Nick Foles pass incomplete short left intended for Jordan Wilkins,1.390,0.700
3,3:53,3,8,IND 43,13,3,Nick Foles sacked by Khalil Mack for -10 yards,0.700,-1.180
3,3:00,4,18,IND 33,13,3,Matt Haack punts 53 yards,-1.180,-0.040
3,2:52,1,10,LAC 18,13,3,Justin Herbert scrambles right end for 2 yards (tackle by Dayo Odeyingbo),0.040,-0.130
3,2:19,2,8,LAC 20,13,3,Austin Ekeler up the middle for 5 yards (tackle by Grover Stewart and Rodney McLeod),-0.130,-0.270
3,1:39,3,3,LAC 25,13,3,"Justin Herbert sacked by and Dayo Odeyingbo for -4 yards and DeForest Buckner for -4 yards. Justin Herbert fumbles (forced by DeForest Buckner), recovered by Kwity Paye at LAC-21 (tackle by DeForest Buckner) (tackle by DeForest Buckner)",-0.270,-4.170
3,1:31,1,10,LAC 21,13,3,Zack Moss right tackle for 2 yards (tackle by Kenneth Murray and Khalil Mack),4.170,3.900
3,0:55,2,8,LAC 19,13,3,Nick Foles pass incomplete short left intended for Parris Campbell,3.900,3.180
3,0:48,3,8,LAC 19,13,3,Nick Foles pass complete short middle to Michael Pittman for 7 yards (tackle by Alohi Gilman),3.180,2.780
Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,1,LAC 12,13,3,Nick Foles up the middle for no gain (tackle by Drue Tranquill and Alohi Gilman),2.780,0.350
4,14:53,1,10,LAC 12,13,3,Joshua Kelley up the middle for 11 yards (tackle by E.J. Speed),-0.350,0.480
4,14:23,1,10,LAC 23,13,3,Joshua Kelley left tackle for 5 yards (tackle by E.J. Speed and Grover Stewart),0.480,0.610
4,13:41,2,5,LAC 28,13,3,Justin Herbert pass incomplete deep left intended for Donald Parham,0.610,-0.100
4,13:33,3,5,LAC 28,13,3,Justin Herbert pass complete short middle to Mike Williams for 26 yards (tackle by Rodney McLeod),-0.100,2.520
4,12:48,1,10,IND 46,13,3,"Penalty on Corey Linsley: False Start, 5 yards (accepted) (no play)",2.520,2.190
4,12:48,1,15,LAC 49,13,3,Austin Ekeler left tackle for 2 yards (tackle by Yannick Ngakoue),2.190,1.570
4,12:12,2,13,IND 49,13,3,Justin Herbert pass complete short middle to Mike Williams for 16 yards (tackle by Stephon Gilmore),1.570,3.380
4,11:30,1,10,IND 33,13,3,Joshua Kelley right tackle for 3 yards (tackle by Zaire Franklin and Kwity Paye),3.380,3.240
4,10:49,2,7,IND 30,13,3,Austin Ekeler left tackle for 6 yards (tackle by E.J. Speed and Rodney McLeod),3.240,3.340
4,10:13,3,1,IND 24,13,3,Austin Ekeler right guard for 1 yard (tackle by Kwity Paye and Grover Stewart),3.340,4.040
4,9:32,1,10,IND 23,13,3,Austin Ekeler left tackle for 6 yards (tackle by E.J. Speed and Grover Stewart),4.040,4.380
4,8:54,2,4,IND 17,13,3,Austin Ekeler up the middle for 16 yards (tackle by Rodney Thomas),4.380,6.970
4,8:23,1,1,IND 1,19,3,"Austin Ekeler left guard for 1 yard, touchdown",6.970,7.000
4,8:20,,,IND 15,20,3,Cameron Dicker kicks extra point good,0.000,0.000
4,8:20,,,LAC 35,20,3,"Cameron Dicker kicks off 70 yards, returned by Dallis Flowers for 31 yards (tackle by Troy Reeder and Alohi Gilman)",0.000,0.670
4,8:15,1,10,IND 26,20,3,Nick Foles pass complete short right to Zack Moss for 5 yards (tackle by Kenneth Murray and Alohi Gilman),0.670,0.810
4,7:56,2,5,IND 31,20,3,Nick Foles pass complete short left to Parris Campbell for 12 yards (tackle by Bryce Callahan),0.810,1.800
4,7:33,1,10,IND 43,20,3,Nick Foles pass incomplete short left intended for Michael Pittman (defended by Michael Davis),1.800,1.250
4,7:27,2,10,IND 43,20,3,Nick Foles sacked by Kyle Van Noy for -5 yards,1.250,-0.100
4,6:43,3,15,IND 38,20,3,Nick Foles pass complete short middle to Jelani Woods for 11 yards (tackle by Alohi Gilman),-0.100,-0.130
4,6:11,4,4,IND 49,20,3,Nick Foles pass incomplete short right intended for Michael Pittman (defended by Michael Davis),-0.130,-2.390
4,6:04,1,10,IND 48,20,3,Joshua Kelley right end for 5 yards (tackle by Bobby Okereke and Zaire Franklin),2.390,2.520
4,5:20,2,5,IND 43,20,3,Joshua Kelley left tackle for no gain (tackle by Brandon Facyson),2.520,1.820
4,5:13,,,,,,Timeout #1 by Indianapolis Colts,,
4,5:13,3,5,IND 43,20,3,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Bobby Okereke),1.820,0.460
4,5:07,,,,,,Timeout #2 by Indianapolis Colts,,
4,5:07,4,4,IND 42,20,3,"JK Scott punts 42 yards, touchback.",0.460,-0.280
4,4:59,1,10,IND 20,20,3,Nick Foles pass complete short middle to Deon Jackson for 6 yards (tackle by Derrek Tuszka and Bryce Callahan),0.280,0.540
4,4:34,2,4,IND 26,20,3,Nick Foles pass complete deep left to Michael Pittman for 19 yards (tackle by Drue Tranquill),0.540,1.930
4,4:05,1,10,IND 45,20,3,Nick Foles sacked by Morgan Fox for -3 yards,1.930,0.980
4,3:21,2,13,IND 42,20,3,Nick Foles sacked by Chris Rumph for -8 yards,0.980,-0.760
4,2:42,3,21,IND 34,20,3,Nick Foles pass complete short right to Deon Jackson for 12 yards (tackle by Drue Tranquill and Kenneth Murray),-0.760,-0.320
4,2:00,4,9,IND 46,20,3,Nick Foles pass complete short left to Michael Pittman for 6 yards (tackle by Bryce Callahan and Drue Tranquill),-0.320,-2.130
4,1:55,1,10,LAC 48,20,3,Justin Herbert kneels for -1 yards,2.130,1.450
4,1:15,2,11,LAC 47,20,3,Justin Herbert kneels for -1 yards,1.450,0.630
4,0:36,3,12,LAC 46,20,3,Justin Herbert kneels for -1 yards,0.630,-0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
