Unnamed: 0,CHI,GNB
First Downs,19,26
Rush-Yds-TDs,17-74-0,32-181-1
Cmp-Att-Yd-TD-INT,27-38-248-3-1,24-42-221-2-1
Sacked-Yards,3-18,1-6
Net Pass Yards,230,215
Total Yards,304,396
Fumbles-Lost,5-3,2-1
Turnovers,4,2
Penalties-Yards,5-39,2-33
Third Down Conv.,3-11,6-14
Fourth Down Conv.,2-2,0-1
Time of Possession,27:22,32:38
