Quarter,Time,Tm,Detail,CHI,GNB
1.0,9:16,Bears,Dustin Lyman 12 yard pass from Brad Maynard (Paul Edinger kick),7,0
,2:31,Packers,Ryan Longwell 21 yard field goal,7,3
2.0,5:20,Bears,Dustin Lyman 8 yard pass from Jim Miller (Paul Edinger kick),14,3
,1:03,Packers,Ryan Longwell 31 yard field goal,14,6
3.0,11:43,Packers,Bubba Franks 6 yard pass from Brett Favre (Ryan Longwell kick),14,13
,1:05,Packers,Ryan Longwell 27 yard field goal,14,16
4.0,8:09,Packers,William Henderson 1 yard pass from Brett Favre (Ryan Longwell kick),14,23
,1:10,Packers,Tony Fisher 2 yard rush (Ryan Longwell kick),14,30
,0:10,Bears,Marcus Robinson 45 yard pass from Henry Burris (pass failed),20,30
