Unnamed: 0,KAN,OAK
First Downs,11,26
Rush-Yds-TDs,15-44-0,60-280-2
Cmp-Att-Yd-TD-INT,15-32-137-0-1,7-14-79-1-0
Sacked-Yards,1-5,1-5
Net Pass Yards,132,74
Total Yards,176,354
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,1-5,4-25
Third Down Conv.,4-11,8-15
Fourth Down Conv.,1-3,3-4
Time of Possession,19:45,40:15
