Quarter,Time,Tm,Detail,KAN,OAK
2.0,13:11,Raiders,Charlie Garner 1 yard rush (Sebastian Janikowski kick),0,7
,1:34,Raiders,Doug Jolley 15 yard pass from Rich Gannon (Sebastian Janikowski kick),0,14
3.0,7:01,Raiders,Sebastian Janikowski 27 yard field goal,0,17
4.0,2:18,Raiders,Zack Crockett 8 yard rush (Sebastian Janikowski kick),0,24
