Quarter,Time,Down,ToGo,Location,KAN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 56 yards, returned by Dante Hall for 48 yards. Dante Hall fumbles, ball out of bounds at OAK-38",0.000,3.050
1,14:51,1,10,OAK 38,0,0,Trent Green pass incomplete intended for Tony Gonzalez,3.050,2.510
1,14:46,1,10,OAK 38,,,Timeout #1 by Oakland Raiders,3.050,2.510
1,14:46,2,10,OAK 38,0,0,Mike Cloud middle for 1 yard (tackle by Eric Barton),2.510,1.950
1,14:06,3,9,OAK 37,0,0,Trent Green pass incomplete intended for Marc Boerigter,1.950,0.790
1,14:00,4,9,OAK 37,0,0,"Dan Stryzinski punts 37 yards, touchback",0.790,-0.280
1,13:50,1,10,OAK 20,0,0,Charlie Garner middle for 2 yards (tackle by Duane Clemons),0.280,0.000
1,13:09,2,8,OAK 22,0,0,Rich Gannon pass complete to Jerry Porter for 9 yards (tackle by Mike Maslowski and Ray Crockett),0.000,1.000
1,12:24,1,10,OAK 31,0,0,"Penalty on Barry Sims: False Start, 5 yards (no play)",1.000,0.670
1,12:04,1,15,OAK 26,0,0,Charlie Garner left tackle for 14 yards (tackle by Jason Belser),0.670,1.680
1,11:19,2,1,OAK 40,0,0,Tyrone Wheatley right guard for 4 yards (tackle by Duane Clemons),1.680,1.860
1,10:38,1,10,OAK 44,0,0,Tyrone Wheatley right guard for 4 yards (tackle by Derrick Ransom),1.860,1.860
1,10:02,2,6,OAK 48,0,0,Tyrone Wheatley left guard for 2 yards (tackle by John Browning and Mike Maslowski),1.860,1.420
1,9:26,3,4,,0,0,Rich Gannon pass complete to Jerry Porter for 3 yards (tackle by William Bartee),1.420,0.130
1,8:58,4,1,KAN 47,0,0,Zack Crockett right tackle for 1 yard (tackle by Mike Maslowski and Eric Hicks),0.130,2.520
1,8:26,1,10,KAN 46,0,0,"Rich Gannon for no gain. Rich Gannon fumbles, recovered by Rich Gannon at KAN-47",2.520,1.840
1,7:58,2,11,KAN 47,0,0,Charlie Garner middle for 7 yards (tackle by Ray Crockett),1.840,2.080
1,7:14,3,4,KAN 40,0,0,Rich Gannon pass incomplete intended for Tyrone Wheatley,2.080,0.590
1,7:12,4,4,KAN 40,0,0,"Shane Lechler punts 27 yards, fair catch by Dante Hall",0.590,0.320
1,7:04,1,10,KAN 13,0,0,Mike Cloud left end for 6 yards (tackle by Terrance Shaw),-0.320,0.030
1,6:25,2,4,KAN 19,0,0,Mike Cloud middle for 2 yards,0.030,-0.470
1,5:40,3,2,KAN 21,0,0,Mike Cloud middle for 3 yards (tackle by Napoleon Harris),-0.470,0.540
1,4:58,1,10,KAN 24,0,0,Trent Green pass complete to Eddie Kennison for 7 yards (tackle by Terrance Shaw),0.540,0.940
1,4:19,2,3,KAN 31,0,0,Mike Cloud middle for no gain (tackle by DeLawrence Grant),0.940,0.230
1,3:42,3,3,KAN 31,0,0,Trent Green pass incomplete intended for Derrick Blaylock (defended by Eric Barton),0.230,-1.310
1,3:37,4,3,KAN 31,0,0,Dan Stryzinski punts 24 yards,-1.310,-1.930
1,3:28,1,10,OAK 45,0,0,Rich Gannon pass complete to Jerry Rice for 6 yards (tackle by William Bartee),1.930,2.190
1,3:11,2,4,KAN 49,0,0,Charlie Garner left end for 4 yards (tackle by William Bartee),2.190,2.590
1,2:46,1,10,KAN 45,0,0,Rich Gannon middle for 4 yards (tackle by Derrick Ransom and Marvcus Patton),2.590,2.580
1,2:00,2,6,KAN 41,0,0,Rich Gannon pass complete to Tim Brown for 20 yards (tackle by Ray Crockett),2.580,4.170
1,1:15,1,10,KAN 21,0,0,Charlie Garner right end for 10 yards (tackle by Eric Warfield),4.170,4.840
1,0:46,1,10,KAN 11,0,0,Charlie Garner left guard for 1 yard (tackle by Jason Belser),4.840,4.320
1,0:06,2,9,KAN 10,0,0,Charlie Garner right tackle for 8 yards (tackle by Scott Fujita),4.320,0.000
Quarter,Time,Down,ToGo,Location,KAN,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,KAN 10,,,Timeout #2 by Oakland Raiders,-0.710,0.000
2,15:00,3,1,KAN 2,0,0,--,0.000,0.000
2,14:21,1,1,KAN 1,0,0,--,0.000,-0.410
2,13:50,1,11,KAN 11,0,0,--,-0.410,0.000
2,13:13,2,1,KAN 1,0,6,--,0.000,-7.000
