Unnamed: 0,ARI,PIT
First Downs,19,11
Rush-Yds-TDs,28-96-0,27-87-0
Cmp-Att-Yd-TD-INT,23-43-307-2-0,12-24-159-3-0
Sacked-Yards,5-24,1-0
Net Pass Yards,283,159
Total Yards,379,246
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,8-81,6-69
Third Down Conv.,3-16,5-13
Fourth Down Conv.,2-5,0-0
Time of Possession,33:44,26:16
