Quarter,Time,Tm,Detail,CIN,BUF
1.0,8:36,Bills,Mike Hollis 32 yard field goal,0,3
,1:12,Bills,Mike Hollis 25 yard field goal,0,6
2.0,10:25,Bills,Drew Bledsoe 7 yard rush (Mike Hollis kick),0,13
,2:41,Bills,Eric Moulds 2 yard pass from Drew Bledsoe (Mike Hollis kick),0,20
,0:24,Bengals,Neil Rackers 19 yard field goal,3,20
3.0,1:37,Bills,Larry Centers 4 yard rush (Mike Hollis kick),3,27
4.0,8:05,Bengals,Jon Kitna 6 yard rush,9,27
