Unnamed: 0,CIN,BUF
First Downs,19,23
Rush-Yds-TDs,18-84-1,38-99-2
Cmp-Att-Yd-TD-INT,19-35-241-0-2,23-31-231-1-0
Sacked-Yards,2-8,2-6
Net Pass Yards,233,225
Total Yards,317,324
Fumbles-Lost,1-1,5-3
Turnovers,3,3
Penalties-Yards,10-105,7-71
Third Down Conv.,1-9,8-15
Fourth Down Conv.,0-2,1-2
Time of Possession,21:22,38:38
