Unnamed: 0,WAS,NWE
First Downs,13,34
Rush-Yds-TDs,16-47-0,35-152-3
Cmp-Att-Yd-TD-INT,21-37-197-1-1,31-41-334-3-0
Sacked-Yards,3-20,1-0
Net Pass Yards,177,334
Total Yards,224,486
Fumbles-Lost,3-3,1-1
Turnovers,4,1
Penalties-Yards,5-40,6-40
Third Down Conv.,2-12,6-11
Fourth Down Conv.,1-2,2-2
Time of Possession,22:11,37:49
