Quarter,Time,Tm,Detail,WAS,NWE
1.0,3:44,Patriots,Tom Brady 3 yard rush (Stephen Gostkowski kick),0,7
2.0,8:08,Patriots,Mike Vrabel 2 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
,5:45,Patriots,Stephen Gostkowski 36 yard field goal,0,17
,0:17,Patriots,Randy Moss 6 yard pass from Tom Brady (Stephen Gostkowski kick),0,24
3.0,7:14,Patriots,Tom Brady 2 yard rush (Stephen Gostkowski kick),0,31
,5:47,Patriots,Rosevelt Colvin 11 yard defensive fumble return (Stephen Gostkowski kick),0,38
4.0,9:06,Patriots,Wes Welker 2 yard pass from Tom Brady (Stephen Gostkowski kick),0,45
,5:53,Patriots,Matt Cassel 15 yard rush (Stephen Gostkowski kick),0,52
,3:00,Redskins,Chris Cooley 15 yard pass from Jason Campbell (Shaun Suisham kick),7,52
