Quarter,Time,Tm,Detail,MIN,SEA
1.0,11:40,Vikings,Ryan Longwell 33 yard field goal,3,0
,10:01,Seahawks,Darrell Jackson 72 yard pass from Matt Hasselbeck (Josh Brown kick),3,7
2.0,14:13,Seahawks,Josh Brown 42 yard field goal,3,10
,7:55,Vikings,Marcus Robinson 40 yard pass from Brad Johnson (Ryan Longwell kick),10,10
3.0,8:51,Vikings,Jermaine Wiggins 15 yard pass from Mewelde Moore (Ryan Longwell kick),17,10
,4:50,Vikings,Chester Taylor 95 yard rush (Ryan Longwell kick),24,10
4.0,14:11,Seahawks,Josh Brown 26 yard field goal,24,13
,7:48,Vikings,Kevin Williams defensive fumble recovery in end zone (Ryan Longwell kick),31,13
