Unnamed: 0,MIN,SEA
First Downs,14,16
Rush-Yds-TDs,30-175-1,21-53-0
Cmp-Att-Yd-TD-INT,16-25-186-2-0,21-42-261-1-2
Sacked-Yards,4-29,4-24
Net Pass Yards,157,237
Total Yards,332,290
Fumbles-Lost,2-0,2-1
Turnovers,0,3
Penalties-Yards,5-45,5-30
Third Down Conv.,5-14,6-16
Fourth Down Conv.,0-1,0-1
Time of Possession,32:19,27:41
