Unnamed: 0,CLE,JAX
First Downs,15,23
Rush-Yds-TDs,24-91-1,29-113-0
Cmp-Att-Yd-TD-INT,14-27-246-1-0,25-42-283-2-0
Sacked-Yards,1-10,3-16
Net Pass Yards,236,267
Total Yards,327,380
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,1-15,6-40
Third Down Conv.,3-12,11-20
Fourth Down Conv.,1-1,2-3
Time of Possession,24:55,35:05
