Quarter,Time,Tm,Detail,CLE,JAX
1.0,2:08,Browns,Donte' Stallworth 3 yard pass from Derek Anderson (Phil Dawson kick),7,0
2.0,10:28,Jaguars,Reggie Williams 5 yard pass from David Garrard (Josh Scobee kick),7,7
,7:20,Browns,Jamal Lewis 2 yard rush (Phil Dawson kick),14,7
,2:09,Browns,Phil Dawson 32 yard field goal,17,7
3.0,10:27,Jaguars,Matt Jones 8 yard pass from David Garrard (Josh Scobee kick),17,14
4.0,8:48,Jaguars,Josh Scobee 53 yard field goal,17,17
,4:35,Browns,Phil Dawson 20 yard field goal,20,17
,4:06,Browns,Phil Dawson 42 yard field goal,23,17
