Quarter,Time,Tm,Detail,DAL,PHI
1.0,1:39,Cowboys,Dan Bailey 20 yard field goal,3,0
2.0,0:00,Cowboys,Dan Bailey 28 yard field goal,6,0
3.0,12:35,Cowboys,Kyle Wilber 26 yard blocked punt return (Dan Bailey kick),13,0
4.0,14:17,Eagles,Cody Parkey 46 yard field goal,13,3
,4:13,Cowboys,Terrance Williams 42 yard pass from Brandon Weeden (Dan Bailey kick),20,3
,1:21,Eagles,Jordan Matthews 6 yard pass from Sam Bradford (Cody Parkey kick),20,10
