Unnamed: 0,DAL,PHI
First Downs,21,17
Rush-Yds-TDs,33-109-0,17-7-0
Cmp-Att-Yd-TD-INT,25-34-268-1-0,23-37-224-1-2
Sacked-Yards,3-18,1-5
Net Pass Yards,250,219
Total Yards,359,226
Fumbles-Lost,2-2,1-1
Turnovers,2,3
Penalties-Yards,18-142,8-60
Third Down Conv.,4-12,2-11
Fourth Down Conv.,0-0,1-1
Time of Possession,40:30,19:30
