Quarter,Time,Tm,Detail,NYG,WAS
1.0,9:35,Giants,Graham Gano 38 yard field goal,3,0
,4:15,Giants,Wayne Gallman 2 yard rush (Graham Gano kick),10,0
2.0,13:05,Washington,Dustin Hopkins 48 yard field goal,10,3
,9:24,Giants,Graham Gano 48 yard field goal,13,3
,2:05,Giants,Evan Engram 16 yard pass from Daniel Jones (Graham Gano kick),20,3
3.0,12:24,Washington,Antonio Gibson 1 yard rush (Dustin Hopkins kick),20,10
,5:12,Giants,Graham Gano 42 yard field goal,23,10
4.0,14:56,Washington,Dustin Hopkins 44 yard field goal,23,13
,10:24,Washington,Terry McLaurin 68 yard pass from Alex Smith (Dustin Hopkins kick),23,20
