Unnamed: 0,NYG,WAS
First Downs,22,19
Rush-Yds-TDs,35-166-1,9-37-1
Cmp-Att-Yd-TD-INT,23-34-212-1-0,29-39-387-1-3
Sacked-Yards,5-28,2-22
Net Pass Yards,184,365
Total Yards,350,402
Fumbles-Lost,2-0,3-2
Turnovers,0,5
Penalties-Yards,4-40,6-45
Third Down Conv.,6-15,3-8
Fourth Down Conv.,0-1,0-0
Time of Possession,36:27,23:33
