Unnamed: 0,NYJ,BUF
First Downs,19,14
Rush-Yds-TDs,22-76-1,24-102-1
Cmp-Att-Yd-TD-INT,28-47-269-0-0,16-27-147-1-0
Sacked-Yards,4-36,3-17
Net Pass Yards,233,130
Total Yards,309,232
Fumbles-Lost,3-2,0-0
Turnovers,2,0
Penalties-Yards,7-61,5-35
Third Down Conv.,8-17,2-13
Fourth Down Conv.,0-1,0-0
Time of Possession,34:25,25:35
