Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tee Higgins,CIN,13,9,148,0,8,104,11.6,44,4.9,11.2,0,,0,0.0,0,107.2
Samaje Perine,CIN,4,4,52,3,3,-3,-0.8,55,13.8,-0.8,1,4.0,0,0.0,0,158.3
Trenton Irwin,CIN,4,3,42,1,2,20,6.7,22,7.3,8.8,0,,0,0.0,0,147.9
Joe Mixon,CIN,3,3,42,0,1,15,5.0,27,9.0,5.0,1,3.0,0,0.0,0,118.7
Tyler Boyd,CIN,7,2,42,0,2,35,17.5,7,3.5,9.9,0,,1,14.3,1,12.5
Hayden Hurst,CIN,3,2,28,0,2,10,5.0,18,9.0,9.3,0,,0,0.0,0,96.5
Trent Taylor,CIN,1,1,1,0,,3,3.0,-2,-2.0,3.0,0,,0,0.0,0,79.2
Trayveon Williams,CIN,1,0,0,0,,0,,0,,-2.0,0,,0,0.0,0,39.6
Mike Thomas,CIN,1,0,0,0,,0,,0,,6.0,0,,0,0.0,1,0.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Pat Freiermuth,PIT,12,8,79,0,4,54,6.8,25,3.1,9.9,2,4.0,0,0.0,0,85.1
Diontae Johnson,PIT,5,4,21,0,0,10,2.5,11,2.8,2.8,0,,0,0.0,0,84.2
George Pickens,PIT,6,4,83,1,3,74,18.5,9,2.3,20.3,0,,1,16.7,0,149.3
Najee Harris,PIT,6,4,26,0,1,11,2.8,15,3.8,4.8,0,,0,0.0,0,75.7
Gunner Olszewski,PIT,3,2,39,0,1,33,16.5,6,3.0,12.0,0,,0,0.0,0,109.7
Zach Gentry,PIT,3,2,8,0,,6,3.0,2,1.0,9.0,0,,0,0.0,0,70.1
Jaylen Warren,PIT,1,1,9,0,1,5,5.0,4,4.0,5.0,0,,0,0.0,0,104.2
Steven Sims,PIT,2,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6
