Unnamed: 0,CIN,PIT
First Downs,22,17
Rush-Yds-TDs,24-62-0,24-102-2
Cmp-Att-Yd-TD-INT,24-39-355-4-2,25-42-265-1-0
Sacked-Yards,2-9,2-16
Net Pass Yards,346,249
Total Yards,408,351
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,6-44,8-70
Third Down Conv.,3-9,8-17
Fourth Down Conv.,0-0,0-1
Time of Possession,31:36,28:24
