Quarter,Time,Tm,Detail,CIN,PIT
1.0,8:54,Bengals,Evan McPherson 45 yard field goal,3,0
,4:37,Steelers,Matthew Wright 42 yard field goal,3,3
,0:39,Bengals,Samaje Perine 29 yard pass from Joe Burrow (Evan McPherson kick),10,3
2.0,12:58,Steelers,Najee Harris 19 yard rush (Matthew Wright kick),10,10
,6:38,Bengals,Samaje Perine 11 yard pass from Joe Burrow (Evan McPherson kick),17,10
,1:47,Steelers,George Pickens 24 yard pass from Kenny Pickett (Matthew Wright kick),17,17
,0:00,Steelers,Matthew Wright 30 yard field goal,17,20
3.0,7:02,Bengals,Trenton Irwin 1 yard pass from Joe Burrow (Evan McPherson kick),24,20
,4:28,Steelers,Matthew Wright 34 yard field goal,24,23
,0:31,Bengals,Evan McPherson 54 yard field goal,27,23
4.0,4:30,Bengals,Samaje Perine 6 yard pass from Joe Burrow (Evan McPherson kick),34,23
,3:18,Bengals,Evan McPherson 44 yard field goal,37,23
,0:45,Steelers,Najee Harris 1 yard rush (Matthew Wright kick),37,30
