Unnamed: 0,CHI,MIN
First Downs,11,21
Rush-Yds-TDs,17-32-1,34-136-2
Cmp-Att-Yd-TD-INT,22-38-184-0-1,18-29-249-0-3
Sacked-Yards,1-7,2-13
Net Pass Yards,177,236
Total Yards,209,372
Fumbles-Lost,2-0,1-1
Turnovers,1,4
Penalties-Yards,11-95,4-30
Third Down Conv.,1-14,5-14
Fourth Down Conv.,1-2,1-1
Time of Possession,24:15,35:45
