Player,Pos
Gijon Robinson,H-B
Peyton Manning,QB
Dominic Rhodes,RB
Reggie Wayne,WR
Anthony Gonzalez,WR
Dallas Clark,TE
Tony Ugoh,LT
Charlie Johnson,LG
Jeff Saturday,C
Mike Pollak,RG
Ryan Diem,RT
Raheem Brock,LDE
Antonio Johnson,LDT
Keyunta Dawson,RDT
Dwight Freeney,RDE
Clint Session,SLB
Buster Davis,MLB
Freddy Keiaho,WLB
Kelvin Hayden,LCB
Tim Jennings,RCB
Bob Sanders,SS
Antoine Bethea,FS
