Unnamed: 0,IND,JAX
First Downs,20,28
Rush-Yds-TDs,18-32-0,27-105-2
Cmp-Att-Yd-TD-INT,29-34-364-3-0,28-41-329-1-1
Sacked-Yards,0-0,3-25
Net Pass Yards,364,304
Total Yards,396,409
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,6-50,7-60
Third Down Conv.,6-10,7-13
Fourth Down Conv.,0-0,1-1
Time of Possession,28:07,31:53
